"# 派生自三表 CSV(通用底 scripts/derived.py + 腾讯定制层,本脚本为唯一写者)。比率为小数(0.5=50%),周转为天。港股无扣非披露线,扣非行 n/a;2001-2006 报表无归属拆分行(无重大 NCI),归母按年度盈利计。"
指标,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
资产负债率 Liabilities/Total assets,0.2627,0.0736,0.1802,0.0737,0.1455,0.2006,0.2447,0.2776,0.2975,0.3904,0.4879,0.4399,0.4548,0.5202,0.602,0.5296,0.5004,0.5077,0.4876,0.4165,0.4563,0.5039,0.4461,0.4083,0.3913
归母/净利 Parent/Net profit,,,,,,,0.9987,0.989,0.9874,0.9924,0.9979,0.9959,0.9961,0.9967,0.9896,0.9915,0.9867,0.9842,0.9731,0.9983,0.9869,0.9975,0.976,0.9878,0.9784
应收账款周转天数 AR turnover days,63.2183,46.8855,39.4372,46.6732,53.1584,40.5406,44.6523,38.7467,32.4642,27.3559,23.9281,18.1892,16.0313,17.4403,20.6677,20.6754,20.4952,26.2497,31.0864,30.5969,30.7291,31.1975,27.591,26.2059,23.8229
存货周转天数 Inventory turnover days,,,,,2.0562,1.142,0.6805,0.6041,,,,11.3883,12.8251,9.6236,2.0428,1.3125,0.8428,0.6623,0.9066,1.0732,1.0903,1.9625,1.6112,0.5258,0.5378
应付账款周转天数 AP turnover days,,,,2.1976,10.8991,14.4043,25.4746,30.4143,44.1606,59.974,66.6262,64.7097,71.5581,90.8155,106.889,116.6702,117.0471,132.4771,134.3588,122.3896,118.2108,116.647,111.6868,128.8956,132.9715
现金及金融资产/总资产 Cash&financial/TA,0.6061,0.5274,0.606,0.5741,0.5899,0.5996,0.5516,0.48,0.66,0.6467,0.5505,0.3948,0.5166,0.3944,0.4536,0.3243,0.2693,0.2257,0.2108,0.1916,0.1698,0.1854,0.2482,0.2282,0.2232
固定资产PPE/总资产 PPE/TA,0.2574,0.1818,0.1392,0.0496,0.1065,0.1181,0.1202,0.1182,0.1438,0.0919,0.1036,0.0984,0.0811,0.0463,0.0325,0.0351,0.0425,0.0485,0.0491,0.0449,0.0384,0.0342,0.0337,0.045,0.0735
存货/总资产 Inventory/TA,,,,,0.0008,0.0005,0.0002,0.0006,,,,0.0075,0.0129,0.0014,0.0007,0.0007,0.0005,0.0004,0.0008,0.0006,0.0007,0.0015,0.0003,0.0002,0.0003
(应收+预付)/总资产 Receivables&prepay/TA,0.1353,0.2904,0.2355,0.0849,0.0745,0.1103,0.0953,0.1508,0.0962,0.0739,0.1147,0.0313,0.0897,0.0795,0.078,0.0799,0.0808,0.0946,0.0913,0.0824,0.0942,0.1007,0.1036,0.1078,0.0911
当年分红率 Payout ratio,,,,,,,0.1342,0.0926,0.1076,0.0794,0.0822,0.087,0.0947,0.074,0.0916,0.09,0.0706,0.0861,0.0891,0.0647,0.0556,0.0688,0.1821,0.1487,0.1669
递延收入/营收 Deferred revenue/Rev(平台预收蓄水池),,0.002,0.005,0.0553,0.1641,0.114,0.0877,0.0953,0.1396,0.1405,0.176,0.1849,0.1959,0.2487,0.2345,0.2188,0.1873,0.1581,0.181,0.1857,0.1649,0.1546,0.1471,0.161,0.1497
投资资产/总资产 Investment assets/TA(联营+FVPL+FVOCI等),0.0,0.0,0.0,0.2914,0.1939,0.1046,0.0577,0.0799,0.0556,0.1451,0.1539,0.1725,0.2303,0.3938,0.3666,0.4231,0.5002,0.5131,0.4611,0.519,0.4833,0.4311,0.4502,0.4624,0.4722
分红+回购/归母 Total shareholder return ratio,,,0.0321,0.0645,0.5259,0.3633,0.2027,0.2318,0.122,0.1179,0.1848,0.0886,0.1802,0.0765,0.0916,0.09,0.0706,0.096,0.1003,0.0647,0.0653,0.2245,0.562,0.676,0.493
