"# 单位: 人民币百万元, 费用/流出=负数; EPS为元/股, 回购为港元。真源: report/腾讯控股/腾讯控股-2026-Q2.pdf(截至2026-06-30止三个月及六个月业绩公布·2026-08-12披露·核数师ISRE2410审阅未经审计); Q1 2026列已核对2026-Q1公告一致、H1 2025列已核对2025-Q2公告一致(零重述)、2025-12-31经审核列已与年度资产负债表.csv逐项断言一致。中期数据不并入年度序列(年度CSV覆盖2001-2025)。勾稽校验见 _build_interim_2026.py(全部通过才写出); 完整中期报告(H1)刊发后如有差异以其为准。"

【利润表·中期】,Q2 2025,Q1 2026,Q2 2026,H1 2025,H1 2026
收入-增值服务,91368,,98414,183501,194524
收入-营销服务,35762,,43565,67615,81736
收入-金融科技及企业服务,55536,,60286,110443,120171
收入-其他,1838,,2520,2967,4812
收入合计,184504,196458,204785,364526,401243
收入成本,-79491,-85193,-86352,-159020,-171545
毛利,105013,111265,118433,205506,229698
销售及市场推广开支,-9410,-11343,-11869,-17276,-23212
一般及行政开支,-31921,-33800,-38808,-65585,-72608
其他收益/(亏损)净额,-3578,1253,-480,-4975,773
经营盈利,60104,67375,67276,117670,134651
投资收益/(亏损)净额及其他,2638,1928,11184,4045,13112
利息收入,4121,4025,4202,7869,8227
财务成本,-3941,-2979,-2979,-7801,-5958
分占联营公司及合营公司盈利/(亏损)净额,4473,3620,-9993,9054,-6373
除税前盈利,67395,73969,69690,130837,143659
所得税开支,-11351,-14577,-11713,-25068,-26290
期内盈利,56044,59392,57977,105769,117369
归母(本公司权益持有人应占),55628,58093,56022,103449,114115
非控制性权益应占,416,1299,1955,2320,3254
每股基本盈利(元),6.115,6.431,6.207,11.367,12.639
每股摊薄盈利(元),5.996,6.302,6.104,11.126,12.417
Non-IFRS经营盈利,69248,75627,75636,138568,151263
Non-IFRS归母,63052,67905,68415,124381,136320
Non-IFRS每股基本盈利(元),6.931,7.517,7.581,13.667,15.098
Non-IFRS每股摊薄盈利(元),6.793,7.364,7.433,13.377,14.799
加权平均股数-基本(百万股),9097,,9025,9101,9029
加权平均股数-摊薄(百万股),9247,,9153,9253,9163

【全面收益表·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
期内盈利,56044,57977,105769,117369
其他全面收益(除税净额)合计,70900,1885,100999,-81507
其中:FVOCI公允价值变动(不重分类),67681,15355,94042,-50763
其中:外币折算差额(两项合计),3555,-13821,6219,-30591
期内全面收益总额,126944,59862,206768,35862
全面收益-归母,122756,58716,198614,36040
全面收益-非控,4188,1146,8154,-178

【分部收入·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
收入-增值服务,91368,98414,183501,194524
收入-营销服务,35762,43565,67615,81736
收入-金融科技及企业服务,55536,60286,110443,120171
收入-其他,1838,2520,2967,4812
收入-合计,184504,204785,364526,401243
毛利-增值服务,55223,62926,110134,123053
毛利-营销服务,20585,24969,38279,45959
毛利-金融科技及企业服务,28952,31422,56549,62598
毛利-其他,253,-884,544,-1912
毛利-合计,105013,118433,205506,229698
收入成本内折旧-增值服务,1451,1647,2768,3162
收入成本内折旧-营销服务,2112,2228,3812,4242
收入成本内折旧-金融科技及企业服务,1705,2455,3520,4620
收入成本内折旧-其他,8,949,19,1909
收入成本内折旧-合计,5276,7279,10119,13933
收入成本内摊销-增值服务,4439,3611,9162,8171
收入成本内摊销-营销服务,2230,1861,4479,3969
收入成本内摊销-金融科技及企业服务,35,34,70,69
收入成本内摊销-其他,649,471,957,1120
收入成本内摊销-合计,7353,5977,14668,13329

【资产负债表】,2025-12-31(经审核),2026-06-30(未经审核)
处置及视同处置投资公司收益净额,94,657,251,4450
FVPL金融资产公允价值收益净额,2001,9610,1378,10657
其他公允价值(亏损)/收益净额,-237,-1302,409,-1767
联营公司投资减值拨回/(拨备),-601,2346,355,149
合营公司投资及其他减值(拨备)/拨回,1509,-94,1509,-100
商誉及收购无形资产减值拨备,-310,0,-310,0
捐款,-640,-677,-698,-1310
股息收入,762,548,1008,920
其他,60,96,143,113
合计,2638,11184,4045,13112

【所得税·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
即期所得税,12317,12501,24713,24392
递延所得税,-966,-788,355,1898
合计,11351,11713,25068,26290

【应收应付账龄】,2025-12-31,2026-06-30
应收0-30天,29177,30419
应收31-60天,10540,14567
应收61-90天,6717,6652
应收超90天,3496,3968
应收合计,49930,55606
应付0-30天,110812,162217
应付31-60天,8447,11718
应付61-90天,326,378
应付超90天,1542,1266
应付合计,121127,175579

【H1 2026 逐月回购】,股份数目,最高价(港元),最低价(港元),总代价(港元)
1月,10205000,638.0,600.5,6357677095.5
3月,2445000,506.0,476.4,1196868575.9
4月,5161000,514.5,485.2,2602792121.5
5月,10186000,468.6,420.4,4506885838.4
6月,22034100,475.6,411.0,9744248440.85
合计,50031100,,,24408472072.15

【派生指标】,2025同期/对照,2026,算法/说明
毛利率 H1,56.4%,57.2%,毛利÷收入; 公告四舍五入口径 Q2: 57%→58%
经营利润率 H1 (IFRS),32%,34%,经营盈利÷收入; 公告口径
Non-IFRS经营利润率 H1,38%,38%,公告口径
经调整EBITDA比率 H1,46%,45%,经调整EBITDA÷收入; 公告口径(Q2'26 45%)
有效税率 H1,19.2%,18.3%,所得税÷除税前盈利
归母同比 Q2,+16.8%(Q2'25),+0.7%,IFRS归母; 被分占联营CRPS重估拖累·非主业信号
Non-IFRS归母同比 Q2,+10%(Q2'25),+9%,公告口径
capex÷经营现金流 H1,30.8%,55.0%,84720÷154061 vs 46583÷151265; 关注要点变量#1
capex÷折旧 H1,3.23x,4.02x,资本开支÷(PPE/IP/ROU折旧); 未来折旧台阶指示
经营现金流同比 H1,—,+1.8%,154061 vs 151265; 同期收入 +10% → 剪刀差
自由现金流 Q2 (公告口径),—,"-13,800",OCF 527亿−capex付款593亿−媒体内容50亿−租赁22亿(MD&A P17·亿元四舍五入)
自由现金流 Q2 剔除算力预付款,—,"+37,600",公告披露376亿; 隐含Q2算力采购预付款≈514亿
递延收入合计(期末),"125,310(2025-06-30)","135,803(2026-06-30)","流动+非流动; 同比+8.4%; 2025-06-30 取自2025-Q2公告BS; 年末2025-12-31=112,519"
净现金同比,"74,592(2025-06-30)","58,191(2026-06-30)","同比−22%; 环比(vs 146,860)−60.4%·Q2为派息季有季节性"
预付款项合计(期末),"135,810(2025-12-31)","228,652(2026-06-30)","非流动24,540→91,203(+271.7%)+流动111,270→137,449; AI算力预付款堰塞科目"
应付账款(期末),"121,127(2025-12-31)","175,579(2026-06-30)","+45%; 增量集中0-30天新发票(110,812→162,217)=采购放量而非拖欠"
短期银行借款(期末),"42,618(2025-12-31)","86,292(2026-06-30)",borrowings流动段; 资金来源侧证
加权平均股数同比 H1,"9,101","9,029",百万股·基本; −0.8% 回购注销效果
H1回购加权均价,—,487.87港元/股,"244.08亿港元÷5,003.11万股"
员工人数(期末),"111,221(2025-06-30)","115,927(2026-06-30)",+4.2%; 总酬金H1 645亿 vs 650亿(−0.8%)·SBC下降所致
研发开支同比,"H1 39,161","H1 49,820(+27.2%)",注3(b); Q2 +34.7%; 无重大开发开支资本化
技术基础设施运营成本同比,"H1 14,268","H1 25,862(+81.3%)",注3·不含折旧; Q2 +101.6% 翻倍=AI算力opex
新AI产品对Non-IFRS经营盈利拖累 Q2,≈31亿(Q2'25隐含),105亿,"剔除新AI产品861亿−含756亿; 新AI产品=Hy/元宝/CodeBuddy/WorkBuddy/小微(公告注7); Q1'26同口径拖累≈86亿(861/1.02−75,627推)"

【单项一手事实】,值,出处
微信及WeChat合并MAU,"1,439百万(同比+2%/环比+0.5%)",经营资料 P3
QQ移动终端MAU,520百万(同比-2%),经营资料 P3
收费增值服务订阅会员数(季度日均),259百万(同比-2%/环比-3%),经营资料 P3
本土市场游戏收入 Q2,473亿元(+17%),MD&A P6; 三角洲行动/无畏契约/源能行动/洛克王国:世界
国际市场游戏收入 Q2,186亿元(-0.8%; 固定汇率+4%),MD&A P6; 鸣潮/VALORANT增长被Supercell部分游戏抵销
社交网络收入 Q2,325亿元(+0.8%),MD&A P6
分占联营亏损Q2主因,"一间非上市投资公司估值上升→其可转换可赎回优先股公允价值重估; Non-IFRS已剔除(调节表(b)项Q2+12,834)",MD&A P8/P14
上市投资公司权益公允价值(不含附属),"4,872亿元(2026-03-31: 5,471亿)",MD&A P17
非上市投资公司权益账面(不含附属),"3,879亿元(2026-03-31: 3,651亿)",MD&A P17
于联营公司投资中上市部分公允价值,"2,338.24亿元(2025-12-31: 3,493.13亿)",附注8
TME收购在线音频公司(业务合并),对价≈140亿元(现金≈80亿+先前持股公允≈11亿+TME股份); 可识别净资产≈48亿; 商誉≈92亿; NCI≈+39亿,附注16
2026-06全球中期票据发行,$17.5亿@5.00%/2036 + $7亿@5.60%/2046 + ¥110亿@2.50%/2036 + ¥40亿@3.10%/2056; 同期偿还到期$10亿+$5亿,附注15
FY2025末期股息,"5.30港元/股≈479亿港元已于H1'26支付(上年410亿); 权益变动表已付股息-归母41,680",附注7/权益变动表
中期股息,不宣派(2025年同),附注7
期后事项,"2026-07售出一间上市联营公司(内容社区及社交平台)部分股份, 售后仍列联营",附注17
购股权(2023计划)期末结存,"73,658,631份·加权行使价394.68港元; H1授出9,203,153份@516.78",附注12(a)
奖励股份期末结存,"118,201,248股; H1授出19,996,279股",附注12(b)
回购目的与处理,"H1购回50,031,100股·总代价244.08亿港元·已全部注销",其他资料 P44
