# 分众传媒 合并现金流量表 2012-2025 · 单位:元 · 流出/减项=负数 · 血缘同利润表
# 2021+新租赁准则:租金支付主要在'支付其他与筹资活动有关的现金'(此前在经营活动)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
筹资活动现金流入小计,,33131700.00,,8394000.00,5514705464.35,2006469805.15,87691101.16,174441030.80,102664050.00,104514245.76,5899033.01,92590617.87,210909611.16,388696114.63
偿还债务支付的现金,,,,,,-960073006.95,,-107252129.40,-937495625.98,-65540764.62,-8743910.72,-10577062.60,-68942084.95,-143933782.00
分配股利、利润或偿付利息支付的现金,-372657400.00,-3660575500.00,-1908065382.18,-468496442.16,-1097067173.20,-3586969215.16,-1268213098.29,-1488208866.03,-1048516077.28,-4665919940.89,-1900284639.76,-6086442603.02,-6214675693.86,-5495959193.95
支付其他与筹资活动有关的现金,,,,,-4930200000.00,-26890387.00,-1481425792.55,-913455784.72,,-2924474740.92,-2798234227.71,-3252333642.34,-3060450644.07,-2643245530.77
其中:子公司支付给少数股东的股利、利润,,,-2126156.00,-1306596.38,-1508730.79,-2280784.48,-2118572.01,,-1212094.45,-0,-22108867.76,-19508155.00,-6444.85,-19482240.00
筹资活动现金流出小计,-372657400.00,-3660575500.00,-1908065382.18,-468496442.16,-6027267173.20,-4573932609.11,-2749638890.84,-2508916780.15,-1986011703.26,-7655935446.43,-4707262778.19,-9349353307.96,-9344068422.88,-8283138506.72
筹资活动产生的现金流量净额,-372657400.00,-3627443800.00,-1908065382.18,-460102442.16,-512561708.85,-2567462803.96,-2661947789.68,-2334475749.35,-1883347653.26,-7551421200.67,-4701363745.18,-9256762690.09,-9133158811.72,-7894442392.09
汇率变动对现金及现金等价物的影响,-652400.00,-147100.00,-368773.94,7069179.90,667113.34,-3095939.59,5180439.09,-3428516.85,-8269803.68,-3446507.21,20054380.30,9037501.88,-4074467.50,-20132845.54
现金及现金等价物净增加额,1789337000.00,-2710585200.00,477690625.62,1556077293.24,1382936485.27,-451277944.26,-256760939.16,-489746322.03,1373276895.34,-394189416.91,-891338343.34,153794462.52,113452239.40,-306249104.90
期初现金及现金等价物余额,1870256600.00,3659593600.00,949008415.39,1426699041.01,2982776334.25,4365712819.52,3914434875.26,3657673936.10,3167927614.07,4541204509.41,4147015092.50,3255676749.16,3409471211.68,3522923451.08
期末现金及现金等价物余额,3659593600.00,949008400.00,1426699041.01,2982776334.25,4365712819.52,3914434875.26,3657673936.10,3167927614.07,4541204509.41,4147015092.50,3255676749.16,3409471211.68,3522923451.08,3216674346.18
