# 阿迪达斯 合并利润表（IFRS/IAS）｜单位：€ 百万（1994-1999 由 DM 按 1 EUR=1.95583 DM 折算）｜空=该期财报无此科目(非 0)｜真源：report/阿迪达斯/*.pdf
科目,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
非经常性收益,,,,11.1,12.1,4.9,0.3,1.8,0.0,,,,,,,,,,,,,,,,,,,,,,,
税前利润,77.1,151.4,227.2,346.1,318.9,398.2,346.6,376.3,390.1,438.2,520.2,655.3,723,815,904,358,806,927,851,1134,835,1039,1444,2023,2378,2558,575,1852,388,65,1121,1820
所得税,15.7,21.9,54.6,95.0,105.1,153.0,139.6,146.9,147.9,166.7,196.7,220.9,227,260,260,113,238,257,327,344,271,353,426,668,669,640,146,360,134,124,297,443
持续经营净利润,,,,,,,,,,,,434.4,496,,,,,,,,564,686,1019,1354,1709,1918,429,1492,254,-58,824,1377
终止经营损益,,,,,,,,,,,,-44.0,0,,,,,,,,-68,-46,1,-254,-5,59,13,666,384,44,8,8
在研研发一次性费用化,,,,,369.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
特别项目前净利润,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
合并净利润,61.5,129.5,172.6,251.1,213.8,245.2,207.0,229.4,242.3,271.5,323.5,390.4,496,555,644,245,568,670,524,790,496,640,1020,1100,1704,1977,443,2158,638,-14,832,1385
归母净利润,60.0,125.2,160.6,237.7,-164.5,227.7,181.7,208.5,228.6,260.1,314.2,382.7,483,551,642,245,567,671,526,787,490,634,1017,1097,1702,1976,432,2116,612,-75,764,1340
少数股东损益,1.5,4.3,12.1,13.4,8.9,17.5,25.3,20.9,13.7,11.4,9.2,7.7,13,4,2,0,1,-1,-2,3,6,6,3,3,3,2,11,42,26,61,68,45
基本每股收益,,,,5.24,-3.63,5.02,4.01,4.6,5.04,5.72,6.88,8.19,2.37,2.71,3.25,1.25,2.71,3.2,2.52,3.78,2.35,3.09,5.08,5.42,8.44,10.0,2.24,10.96,3.34,-0.42,4.28,7.51
稀释每股收益,,,,,,,,,5.04,5.72,6.54,7.73,2.25,2.57,3.07,1.22,2.71,3.2,2.52,3.78,2.35,3.09,5.08,5.38,8.42,10.0,2.24,10.96,3.34,-0.42,4.28,7.51
数据来源,1996年报P42(三年列·1994列),1996年报P42(三年列·1995列),1996年报P42,1997年报P32,1998年报P38(第1列 adidas-Salomon),1999年报P44,2000年报P64,2002年报P114(比较列·无独立年报存档),2002年报P114,2003年报P122,2004年报P128,2005年报P125(Salomon 剥离后持续经营口径),2006年报P146(第1列·非 excl.Reebok 备考列),2007年报P153,2008年报P152,2009年报P167,2010年报P185,2011年报04.4,2012年报04.4,2013年报04.4,2014年报04.4,2015年报,2016年报,2017年报P152,2018年报P150,2019年报P133(首次适用 IFRS16),2020年报P196,2021年报P215(Reebok 列终止经营),2022年报P184,2023年报P191,2024年报P361,2025年报P311
