"单位:千美元(USD thousands);空=该年申报 presentation 无此科目(不补0)。⚠️印刷口径 FY2019 起由千美元改为百万美元,故 FY2019+ 精度只到百万(末三位恒为0);流出=负数"
各年 as-reported 来源:FY2005/2006=424B4(2010-06-29)五年 Selected Financial Data | FY2007-2009=424B4 经审计三表 | FY2010=10-K FY2010 | FY2011-2025=各年自身 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一)
科目,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
偿还债务 Repayments of debt,,,,,,-12710,-452337,,,-1857594,-3995484,-5247057,-9161000,-11623000,-14167000,-3364000,-1351000,-2500000,-5546000
偿还关联方借款 Repayments of related-party borrowings,,,,,,,,,,,-165000,-100000,,,,,,,
发行普通股所得 Proceeds from issuance of common stock,,,,,172410,221496,360000,,730000,1701734,400175,,848000,12269000,0,0,,,
定向增发所得 Proceeds from private placements,,,,,59058,,55000,,20000,,,,,,,,,,
期权行权及员工购股 Proceeds from stock option exercises,,,,,10525,24885,95307,100455,106611,163817,259116,295722,263000,417000,707000,541000,700000,1241000,1186000
融资/资本租赁本金支付 Principal payments on finance/capital leases,,,,,-416,-2832,-8425,-11179,-203780,-46889,-103304,-180805,-321000,-338000,-439000,-502000,-464000,-381000,-104000
抵押租赁借款(净) Collateralized lease borrowings (repayments),,,,,,,,3271,568745,769709,511321,-559167,-389000,-240000,-9000,0,0,,
可转债对冲及权证 Convertible note hedges & warrants,,,,,,,-57222,-214268,,,-94391,-11,-302000,,,,,,
发行费用 Debt & stock issuance costs,,,,,,,-16901,-35149,-17025,-20042,-63111,-14973,-37000,-6000,-9000,0,-29000,-14000,-6000
支付非控股权益分配 Distributions to NCI,,,,,,,,,,-21250,-261844,-227304,-311000,-208000,-161000,-157000,-144000,-104000,-78000
非控股权益投入 Investments by NCI,,,,,,,,,,201527,789704,437134,279000,24000,2000,0,0,,
买断非控股权益 Buy-outs of NCI,,,,,,,,,,,-373,-5957,-9000,-35000,-10000,-45000,-54000,-133000,0
股东诉讼和解收付 Shareholder settlement,,,,,,,,,,,,,,,,,,,101000
融资活动现金流净额 Net cash from financing activities,45041,56068,155419,338045,446000,419635,635422,2143130,1523523,3743976,4414864,573755,1529000,9973000,-5203000,-3527000,2589000,3853000,1139000
汇率影响 Effect of exchange rate changes,,,,,,,,-35525,-34278,-7409,39455,-22700,8000,334000,-183000,-444000,4000,-141000,171000
现金净变动 Net increase (decrease) in cash,-18190,-7934,60350,29931,155708,-53376,643999,1059824,-708805,2196308,-25302,311429,2506000,13118000,-1757000,-1220000,265000,-152000,579000
期初现金 Cash at beginning of period,35401,17211,9277,69627,99558,255266,201890,845889,1905713,1196908,3393216,3964959,4277000,6783000,19901000,18144000,16924000,17189000,17037000
期末现金 Cash at end of period,17211,9277,69627,99558,255266,201890,845889,1905713,1196908,3393216,3367914,4276388,6783000,19901000,18144000,16924000,17189000,17037000,17616000
补充-已付利息 Cash paid for interest,9,41,70,1138,3472,6938,9041,20539,32060,38693,182571,380836,455000,444000,266000,152000,126000,277000,292000
补充-已付所得税 Cash paid for income taxes,,,,,282,117,257,3120,9461,16385,65695,35409,54000,115000,561000,1203000,1119000,1331000,
补充-非现金:应付项下购建固定资产 PP&E in liabilities,,,,,2703,44890,38789,254393,267334,663771,914108,249141,562000,1088000,2251000,2148000,2272000,1410000,1913000
补充-非现金:build-to-suit 租赁设施 Build-to-suit facilities,,,,,,,,50076,174749,307879,313483,94445,,,,,,,
补充-非现金:业务合并发行权益 Equity issued in business combination,,,,,,,,,,2145977,10528,,207000,,0,,,,
