单位:千美元(USD thousands);损益行沿用利润表.csv 符号(费用/流出=负);「按性质/SBC/无形摊销」块为正数;空=该期无此科目
来源:10-Q 2026Q1(acc 0001679788-26-000054)· 10-Q 2026Q2(acc 0001679788-26-000088);落档 report/coinbase/_中期报告/
"⚠️ 2025 各列取自**2026 年 10-Q 的比较列**,已按 2026Q1 收入列示变更重分类(自有支付稳定币收入 净收入→其他收入:Q1 23,500 / Q2 23,600 / H1 47,100),与 2025 年当期 10-Q 原披露**不同**;亦已含断点 C(稳定币改记现金等价物)追溯影响"
"⚠️ 本表只有 2026H1 及其同期;2025Q3 10-Q 已落档但未转录(⏳),故**不构成完整季度序列**,不可用于判断「Q4 收入是否异常集中」"
⚠️ Adjusted EBITDA 为公司自定义非 GAAP 且定义被改过(见 重述与口径变更.csv 断点 E);2026Q2 起公司已停披露 Trading Volume 关键指标
读法:净亏损的主因看「投资性加密资产损失占净亏 %」(公允价值重估·不耗现金);费用刚性看「核心经营费用(剔数据泄露事件)」同比 —— 不剔该事件会把 2026 费用误读成同比下降
科目,2025Q1,2025Q2,2025H1,2026Q1,2026Q2,2026H1
利息费用 Interest expense,-20511,-20535,-41046,-22569,-22516,-45085
投资性加密资产损益净额 (Losses) gains on crypto held for investment,-596651,362053,-234598,-482356,-209499,-691855
"其他收入(费用)净额 Other income (expense), net",-6188,1506905,1500717,61641,-49908,11733
税前利润 Income (loss) before income taxes,82456,1823773,1906229,-464705,-395411,-860116
所得税(费用)收益 (Provision for) benefit from income taxes,-16848,-394873,-411721,70588,35943,106531
净利润 Net income (loss),65608,1428900,1494508,-394117,-359468,-753585
每股收益-基本(美元) EPS Basic,0.26,5.6,5.87,-1.49,-1.36,-2.85
每股收益-稀释(美元) EPS Diluted,0.24,5.14,5.39,-1.49,-1.36,-2.85
加权平均股数-基本(千股) WA shares Basic,253878,255188,254537,264775,263412,264128
—— 费用按性质(10-Q Note 17·ASU 2024-03·正数) ——,,,,,,
技开-员工相关 Employee-related,232348,245571,477919,348123,302527,650650
技开-网站托管与基础设施,67247,76336,143583,90639,89301,179940
技开-摊销折旧与减值,32012,34585,66597,47913,47078,94991
技开-其他,23761,30830,54591,38973,33942,72915
销营-USDC 奖励 USDC rewards,100034,102521,202555,113427,119108,232535
销营-营销项目 Marketing programs,104970,90022,194992,83907,59690,143597
销营-员工相关,33456,32319,65775,39378,29787,69165
销营-其他(含 Deribit 无形摊销),8823,11383,20206,30014,31258,61272
行政-员工相关,163137,147752,310889,193361,171876,365237
行政-专业服务 Professional services,58176,71010,129186,49624,54934,104558
行政-客户支持(不含员工与专业服务),70455,54764,125219,33265,28053,61317
行政-其他,102578,80181,182759,99844,102061,201906
交易-区块链奖励费,120021,89157,209178,64133,53102,117235
交易-交易返佣与佣金,59585,86862,146447,29026,36763,65789
交易-支付处理与账户验证,64645,41332,105977,40175,42349,82524
交易-交易冲正损失,46844,20855,67699,33999,20057,54056
交易-其他(含预测市场交易所费),11931,7055,18986,28526,37519,66045
—— 股权薪酬按费用行(10-Q Note 16·正数) ——,,,,,,
SBC-技术与开发内,108092,117240,225332,160641,152917,313558
SBC-销售与营销内,14905,14533,29438,14811,12601,27412
SBC-一般及行政内,67732,64387,132119,72603,72823,145426
股权薪酬合计 Total SBC expense,190729,196160,386889,248055,238341,486396
—— 无形资产摊销按费用行(10-Q 商誉与无形附注·正数) ——,,,,,,
无形摊销-技术与开发内,1724,1973,3697,15784,15356,31140
无形摊销-销售与营销内,0,0,0,18019,17774,35793
无形摊销-一般及行政内,3381,3317,6698,1809,1714,3523
无形摊销合计 Total amortization of intangibles,5105,5290,10395,35612,34844,70456
折旧与摊销合计 D&A(Adjusted EBITDA 对账口径),33333,33901,67234,68006,64403,132409
数据泄露事件净损失/(回收)(在「其他经营费用净额」内),0,306654,306654,8610,-33854,-25244
Adjusted EBITDA(非GAAP·⚠️定义被改过·见重述表 E),929868,512065,1441933,303250,207810,511060
—— 派生:亏在哪 / 费用刚性 ——,,,,,,
员工相关成本合计(三费用行内),428941,425642,854583,580862,504190,1085052
其中:股权薪酬(三费用行内),190729,196160,386889,248055,238341,486396
其中:现金员工成本,238212,229482,467694,332807,265849,598656
员工相关/总经营费用 %,32.3,28.0,30.0,40.5,37.8,39.2
员工相关/总收入 %,21.1,28.4,24.2,41.1,41.3,41.2
股权薪酬占员工相关成本 %,44.5,46.1,45.3,42.7,47.3,44.8
USDC 奖励/稳定币收入 %,36.5,33.2,34.7,37.1,40.8,38.9
稳定币腿毛贡献(稳定币收入 − USDC奖励·未分摊其他成本),174003,206393,380396,192008,173039,365047
剔除稳定币腿毛贡献后的经营利润(亏损),531803,-231043,300760,-213429,-286527,-499956
核心总经营费用(剔数据泄露事件),1328489,1215204,2543693,1425793,1367410,2793203
核心经营利润(剔数据泄露事件),705806,282004,987810,-12811,-147342,-160153
投资性加密资产损失占净亏 %,,,,122.4,58.3,91.8
经营亏损占净亏 %,,,,5.4,31.6,17.9
