Coinbase 重述与口径变更登记册 —— 单位千美元(除注明);A/B/C 三处报表重述由 XBRL companyfacts 跨 fy 机器侦测(17 处)+ 印刷报表核对
"⚠️ 本表存在的意义:三表 CSV 取「各年 as-reported」,跨年直接相减会踩这些断点"
"⚠️ 断点 G 是**分项层**重分类(合计不变),XBRL 按合计科目比对抓不到 —— 只能靠印刷报表逐行对照发现;费用构成.csv 用最新列示,利润表.csv 保持 as-reported"
断点,受影响年份,科目/指标,原披露值(来源),重述/变更后(来源),差额,原因
C 稳定币改记现金等价物,2023,投资活动现金流净额,"5,392 (10-K FY2023/FY2024)","-206,176 (10-K FY2025)","-211,568",同上(对侧)
C 稳定币改记现金等价物,2024,融资活动现金流净额,"2,828,921 (10-K FY2024)","2,903,078 (10-K FY2025)","+74,157",同上(对侧)
C 稳定币改记现金等价物,2023,融资活动现金流净额,"-811,332 (10-K FY2023/FY2024)","-838,205 (10-K FY2025)","-26,873",同上(对侧)
C 稳定币改记现金等价物,2024,期末现金(含受限及客户托管),"14,610,442 (10-K FY2024)","15,683,455 (10-K FY2025)","+1,073,013",同上
C 稳定币改记现金等价物,2023,期末现金(含受限及客户托管),"9,555,429 (10-K FY2023/FY2024)","9,925,812 (10-K FY2025)","+370,383",同上
C 稳定币改记现金等价物,2022,期末现金(含受限及客户托管),"9,429,646 (10-K FY2022/23/24)","10,288,045 (10-K FY2025)","+858,399",同上
C 稳定币改记现金等价物,2025H1(中期),经营活动现金流净额,"145,747 (10-Q 2025Q2 原披露·由重分类表倒推)","1,092,772 (10-Q 2026Q2 比较列)","+947,025","同一政策变更在中期表的落点:营运资本合计行由 -1,036,250 调为 -89,225。**幅度达 7.5 倍** → 任何引用 2025 年当期 10-Q 原披露中期经营现金流的分析都会错量级"
C 稳定币改记现金等价物,2025H1(中期),发放贷款 / 收回贷款,"-955,488 / 588,004 (10-Q 2025Q2)","-4,596,581 / 4,322,454 (10-Q 2026Q2)","-3,641,093 / +3,734,450","稳定币借贷改按加密借贷政策后,原在营运资本内的净额流转改按**总额**列入投资活动"
H 客户抵押品总额→净额,2025H1(中期),收到客户抵押品 / 返还客户抵押品,"370,553 / -373,804 (10-Q 2025Q2)","109,399 / -112,650 (10-Q 2026Q2·含 C 的影响)","±312,510(仅 H 的部分)","2026Q1 起将部分贷款抵押品的收与返由**总额**改**净额**列示并追溯;公司理由=周转快、金额大、期限短,与相关贷款余额的净额列示一致。融资活动净额不受影响(两行对冲),但两行的**规模感被压缩约三分之二**"
G 费用分项静默重分类,2023,一般及行政 General and administrative,"1,041,308 (10-K FY2023)","1,074,308 (10-K FY2024/FY2025)","+33,000","33,000 由「其他经营费用净额」重分类进「一般及行政」;**公司未在申报中给出任何说明**(FY2024 10-K 全文无 reclassified 字样)。总经营费用 3,270,045 不变 → 「总费用七年零重述」仍成立,但**分项层被改过**;费用构成.csv 用最新列示,利润表.csv 保持 as-reported,两者 2023 G&A 差 33,000 即此处"
G 费用分项静默重分类,2023,"其他经营费用净额 Other operating expense, net","43,260 (10-K FY2023)","10,260 (10-K FY2024/FY2025)","-33,000",同上(对侧)
G 费用分项静默重分类,2024,G&A 员工相关口径(分项内),"608,786「Personnel-related」(10-K FY2024)","606,554「Employee-related」(10-K FY2025 ASU2024-03 附注)","-2,232","行标签由 Personnel-related 改为 Employee-related,2,232 移入「其他」;G&A 合计不变"
D ASU 2023-08(2024-01-01 采用·累积影响法),2024 期初,留存收益,—,"+561,489 累积影响调整","+561,489","自持加密资产由「成本减减值」改按**公允价值**计量;**非追溯** → 2023 及以前的加密资产损益行与 2024 起不可比(投资用加密资产期初另 +717,373)"
E 关键指标定义变更,2021/2023,MTU 月度交易用户,11.4M(2021·Q4 均值口径) / 7.0M(2023·Q4 均值),11.2M(2021·FY2022 修订) / 7.4M(2023·FY2024 改年度均值),—,① 数值被静默下修(11.4→11.2);② 口径由「Q4 各月均值」改为「全年各季均值」;公司自陈「非重大的口径修订一般不回溯更新已披露指标」→ 跨年报直接相减会错
E 关键指标定义变更,2024,Adjusted EBITDA(非GAAP),964M(10-K FY2023),978M(10-K FY2024·recast),+14M,FY2024 Q1 修订 Adjusted EBITDA 定义并重述上年可比数
E 关键指标定义变更,2025,Trading Volume 交易量,"1,162B(10-K FY2024·2024年)","1,189B(10-K FY2025·2024年 recast)",+27B,"2025Q4 重定义:加入「路由至平台外撮合」交易额的一半,上期重述"
E 关键指标定义变更,2023,Verified Users / Assets on Platform 停披露,2022 年报仍披露(110M / 80B),2023Q1 起停披露 Verified Users;AOP 停后于 FY2024 恢复,—,公司主动删减关键指标口径(AOP 恢复时定义已改:剔除客户自持私钥资产)
F 数据可得性边界,2018,三表全表,—,实证不可得,—,"Coinbase 上市时为 EGC,424B4 招股书只列 FY2019/FY2020 两年经审计财务(非三年);FY2018 全库仅 3 个期初余额点:现金 1,987,139 / 权益 500,071 / 未确认税务利益 6,605"
