单位:百万美元(USD millions)。分部营业收入。🔴 Disney 分部口径 30 年改过 6 次(见下方分组)，**跨分组不可直接连线做同比**；每年一律取该年年报的当年列(禁用后一年同比%反推)。
"闸门:各分部营收之和(含分部间抵销)= 同年 利润表.csv 营业收入,差额>0.5% 则该年不写出。"
口径分组,分部,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
FY2019-2020 福克斯并购+DTC重组,媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,24827,28393,,,,,
FY2019-2020 福克斯并购+DTC重组,"主题公园体验与产品 Parks, Experiences and Products",,,,,,,,,,,,,,,,,,,,,,,,,,,26225,16502,,,,,
FY2019-2020 福克斯并购+DTC重组,影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,11127,9636,,,,,
FY2019-2020 福克斯并购+DTC重组,DTC与国际 Direct-to-Consumer & International,,,,,,,,,,,,,,,,,,,,,,,,,,,9349,16967,,,,,
FY2019-2020 福克斯并购+DTC重组,分部间抵销 Eliminations,,,,,,,,,,,,,,,,,,,,,,,,,,,-1958,-6110,,,,,
FY2019-2020 福克斯并购+DTC重组,— 合计校验:利润表营业收入,,,,,,,,,,,,,,,,,,,,,,,,,,,69570,65388,,,,,
FY2021-2022 两大板块,媒体与娱乐发行 DMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50866,55040,,,
FY2021-2022 两大板块,主题公园体验与产品 DPEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16552,28705,,,
FY2021-2022 两大板块,分部间抵销 Eliminations(倒挤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1023,,,
FY2021-2022 两大板块,— 合计校验:利润表营业收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67418,82722,,,
FY2023-2025 娱乐/体育/体验,娱乐 Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40635,41186,42466
FY2023-2025 娱乐/体育/体验,体育 Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17111,17619,17672
FY2023-2025 娱乐/体育/体验,体验 Experiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32549,34151,36156
FY2023-2025 娱乐/体育/体验,分部间抵销 Eliminations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1397,-1595,-1869
FY2023-2025 娱乐/体育/体验,— 合计校验:利润表营业收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88898,91361,94425
