"# 单位: 人民币元, 流出/减项=负数, 净额/汇率按报表符号, 26 年 2000-2025"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
支付利息、手续费及佣金的现金,,,,,,,,,,,,,,-8214142.13,-72122638.14,-62297196.96,-115962455.33,-146330216.72,-117086309.02,-175423942.78,-107241768.26,-163462728.48,-79226410.98,-142896151.21,-97061751.28,-141082631.31
支付给职工及为职工支付的现金,,-93314750.84,,-205782831.25,,-250797915.98,-507050712.97,-623333896.62,-809386845.15,-1229305038.48,-1492813443.35,-1925571991.79,-2953919072.54,-3135608084.79,-3393609756.87,-4536877341.10,-4674154236.66,-5489606122.48,-6653137733.66,-7669863126.24,-8161813197.26,-10061366201.66,-11752241598.62,-13845293907.26,-15352541000.17,-15473458699.70
支付的各项税费,,-702151217.79,,-985931576.96,,-1600737072.95,-2390281005.60,-3602532438.23,-3666868792.10,-4160350102.49,-4885737303.37,-8286279154.84,-10170840319.22,-12533350979.21,-14496450812.41,-14003048933.21,-17510516331.20,-23065648503.05,-32032178125.92,-39841352755.42,-41622706350.37,-44609684025.23,-62043324506.36,-66683472509.22,-77055621533.11,-77430597986.28
支付其他与经营活动有关的现金,,-414169511.53,,-412164421.80,,-547306251.51,-489086803.27,-465962448.89,-579124473.15,-771463605.18,-827128112.69,-1126701940.48,-1546575218.99,-1943903415.49,-2616741740.03,-1867442431.65,-2371486776.88,-2940296363.54,-2935766833.07,-5315417150.90,-4047026186.46,-4368504506.00,-5123087432.89,-7943709518.14,-9015412761.18,-9012158197.61
经营活动现金流出小计,,-1804343608.55,,-2242408695.41,,-3349605996.03,-4091522620.16,-5790135752.07,-6270097925.23,-7718194684.85,-8875483081.45,-13692240804.59,-17378728264.08,-24058100141.10,-22855327240.86,-22577566708.33,-29827895990.88,-45216426427.68,-47960400991.98,-54233824521.66,-61841782676.98,-67592310690.60,-101117279093.78,-101662921234.86,-107622642492.13,-124606593776.59
经营活动产生的现金流量净额,,42283037.35,,941706242.08,975784480.20,1693707488.32,2112936898.43,1743303211.38,5247488535.74,4223937144.19,6201476519.57,10148564689.53,11921310609.25,12655024861.92,12632522436.60,17436340141.72,37451249647.05,22153036084.13,41385234406.72,45210612632.56,51669068693.03,64028676147.37,36698595830.03,66593247721.09,92463692168.43,61522204989.35
收回投资收到的现金,,,,,,,,,21000000.00,25000000.00,17000000.00,0,,,5000000.00,60050000.00,,,,,314906521.48,6079930.68,,7549947301.15,8550000000.00,33455136000.00
取得投资收益收到的现金,,,,,,,,,2123100.00,2080397.26,1731400.00,3010000.00,,,3095265.75,3869172.05,,,,,,860000.00,5880000.00,140715000.00,92382151.66,111683655.90
处置固定资产等收回的现金净额,,,,,,,5950.00,,50000.00,,,,,,10226939.39,8772937.39,92084.50,16450.00,,38080.00,495904.85,2463474.29,355149.00,24948352.95,715708.44,155949.50
收到其他与投资活动有关的现金,,,,,,,,,,,56315726.51,212533826.84,354507568.00,759396234.64,106726852.00,33357886.05,5562351.19,21430672.95,11244181.30,7321070.40,6675319.03,9983452.63,4971762.18,4605886.63,5532536.42,24750303.39
投资活动现金流入小计,,0,,0,,0,5950.00,,23173100.00,27080397.26,75047126.51,215585426.84,354507568.00,759396234.64,125049057.14,106049995.49,5654435.69,21447122.95,11244181.30,7359150.40,322077745.36,19386857.60,11206911.18,7720216540.73,8648630396.52,33591725908.79
购建固定资产等支付的现金(capex),,-331691548.18,,-334880557.62,,-540843725.72,-737464883.28,-772456652.49,-1010735786.04,-1356601530.09,-1731913788.52,-2184528163.11,-4211900807.91,-5405740026.23,-4431065066.05,-2061470481.32,-1019178136.92,-1125017192.45,-1606750226.63,-3148864661.38,-2089769498.78,-3408784532.01,-5306546416.54,-2619755888.79,-4678712053.56,-3127594916.41
投资支付的现金,,,,,,,-41000000.00,-17000000.00,-5000000.00,-10000000.00,-50000000.00,0,-350000000.00,,-15000000.00,-25050000.00,,,,,-20000000.00,-2150000000.00,-210000000.00,-14817852800.00,-5745136000.00,-62097000000.00
支付其他与投资活动有关的现金,,,,,,,,,,,-56522892.71,-151475313.64,,-692967608.36,-259143571.28,-68319778.76,-88977102.97,-17075145.10,-33456659.58,-24180232.27,-17535402.30,-23048029.93,-31486829.54,-7021867.10,-9984973.67,-9029941.27
投资活动现金流出小计,,-331691548.18,,-334880557.62,,-540843725.72,-778464883.28,-789456652.49,-1015735786.04,-1366601530.09,-1838436681.23,-2336003476.75,-4561900807.91,-6098707634.59,-4705208637.33,-2154840260.08,-1108155239.89,-1142092337.55,-1640206885.94,-3173044893.65,-2127304901.08,-5581832591.94,-5548033246.08,-17444630555.89,-10433833027.23,-65233624857.68
投资活动产生的现金流量净额,,-331691548.18,,-334880557.62,,-540843725.72,-778458933.28,-789456652.49,-992562686.04,-1339521132.83,-1763389554.72,-2120418049.91,-4199476298.27,-5339311399.95,-4580159580.19,-2048790264.59,-1102500804.20,-1120645214.60,-1628962704.56,-3165685743.25,-1805227155.72,-5562445734.34,-5536826334.90,-9724414015.16,-1785202630.71,-31641898948.89
吸收投资收到的现金(子公司少数股东),,2016922206.52,,,,,,,,,,,392000000.00,6000000.00,34800000.00,0,16000000.00,6000000.00,,833000000.00,,,,,,
取得借款收到的现金,,,,,,,,,,,,,,,67382607.00,0,,,,,,,,,,
收到其他与筹资活动有关的现金,,,,300000.00,,32502077.90,4146323.10,1504621.00,761176.07,158121.82,105801.61,102972.37,89497.15,17474.78,0,22000000.00,,,,,,,,,,
筹资活动现金流入小计,,2016922206.52,,300000.00,,32502077.90,4146323.10,1504621.00,761176.07,158121.82,105801.61,102972.37,392089497.15,6017474.78,102182607.00,22000000.00,16000000.00,6000000.00,,833000000.00,,,,,,
偿还债务所支付的现金,,-129000000.00,,,,,,,,,,,,,0,-55917672.00,,,,,,,,,,
分配股利、利润或偿付利息支付现金,,-103060709.05,,-47385988.25,,-191703825.82,-760139114.40,-706866028.20,-884671434.63,-1235143869.10,-1292951032.41,-2661953339.24,-4306614120.00,-7391988549.25,-5121609336.33,-5554101966.61,-8350512252.23,-8905177880.80,-16441093160.06,-20117402829.22,-24091029750.51,-26476019839.37,-57370196191.46,-58754786730.01,-70951027702.94,-67241733345.45
  其中:子公司支付给少数股东股利,,,,,,,,,,,,,,,-580094577.97,-513009332.72,-532067286.55,-379363405.61,-2624173549.23,-1853543015.02,-2704262179.11,-2240195683.97,-2618815078.45,-2204530367.41,-2164148570.54,-2569934067.50
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,-22000000.00,0,,,,,-36507157.75,-88121549.59,-54332788.37,-134315261.93,-116478781.87,-6185347863.42
筹资活动现金流出小计,,-232060709.05,,-47385988.25,,-191703825.82,-760139114.40,-706866028.20,-884671434.63,-1235143869.10,-1292951032.41,-2661953339.24,-4306614120.00,-7391988549.25,-5143609336.33,-5610019638.61,-8350512252.23,-8905177880.80,-16441093160.06,-20117402829.22,-24127536908.26,-26564141388.96,-57424528979.83,-58889101991.94,-71067506484.81,-73427081208.87
筹资活动产生的现金流量净额,,1784861497.47,,-47085988.25,,-159201747.92,-755992791.30,-705361407.20,-883910258.56,-1234985747.28,-1292845230.80,-2661850366.87,-3914524622.85,-7385971074.47,-5041426729.33,-5588019638.61,-8334512252.23,-8899177880.80,-16441093160.06,-19284402829.22,-24127536908.26,-26564141388.96,-57424528979.83,-58889101991.94,-71067506484.81,-73427081208.87
汇率变动对现金及现金等价物的影响,,0,,0,,0,0,0,0,0,0,0,0,0,-5449166.99,-16273531.71,72317.80,72948.86,29006.86,27240.01,380639.36,-2026542.60,911088.01,1718255.65,-1082747.55,2295358.30
现金及现金等价物净增加额,,1495452986.64,,559739696.21,,993662014.68,578485173.85,248485151.69,3371015591.14,1649430264.08,3145241734.05,5366296272.75,3807309688.13,-70257612.50,3005486960.09,9783256706.81,28014308908.42,12133285937.59,23315207548.96,22760551300.10,25736685268.41,31900062511.47,-26261848396.69,-2018550030.36,19609900305.36,-43544479810.11
期初现金及现金等价物余额,,460983583.46,,1780307690.64,,2898327418.85,3895735974.48,4474221148.33,4722706300.02,8093721891.16,9743152155.24,12888393889.29,18254690162.04,22061999850.17,21991742237.67,24997229197.76,34780485904.57,62794794812.99,74928080750.58,98243288299.54,121003839599.64,146740524868.05,178640587379.52,152378738982.83,150360188952.47,169970089257.83
期末现金及现金等价物余额,,1956436570.10,,2340047386.85,,3891989433.53,4474221148.33,4722706300.02,8093721891.16,9743152155.24,12888393889.29,18254690162.04,22061999850.17,21991742237.67,24997229197.76,34780485904.57,62794794812.99,74928080750.58,98243288299.54,121003839599.64,146740524868.05,178640587379.52,152378738982.83,150360188952.47,169970089257.83,126425609447.83
