"# 派生比率: 从一手三表计算, 比率为小数(如 0.9153 = 91.53%), 26 年 2000-2025"
科目,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
合同负债/营业收入 (蓄水池占比),0.345907,0.189208,0.246617,0.310438,0.344507,0.392620,0.436734,0.155482,0.356270,0.363643,0.407329,0.381834,0.192452,0.098478,0.046755,0.252960,0.451366,0.247847,0.184366,0.160838,0.140352,0.119771,0.124673,0.095642,0.056129,0.047423
资产负债率 总负债/总资产,0.650252,0.267298,0.268684,0.299785,0.338416,0.359313,0.355555,0.201557,0.269818,0.258885,0.275063,0.272128,0.212101,0.204224,0.160333,0.232526,0.327942,0.286683,0.265493,0.224899,0.214039,0.228127,0.194745,0.179843,0.190448,0.164154
归母/净利 Parent/Net profit,0.977570,0.958889,0.959723,0.963851,0.960642,0.956736,0.955726,0.954410,0.949690,0.947189,0.945959,0.947334,0.950004,0.948120,0.943479,0.942151,0.932391,0.933564,0.930584,0.937150,0.942935,0.941487,0.959334,0.964043,0.965225,0.964948
应收账款周转天数 AR turnover days,15.69,10.67,8.90,5.34,3.56,3.48,4.17,2.89,1.80,1.06,0.355185,0.034512,0.138269,0.110635,0.030249,0.025352,,,,,,,0.061580,0.100473,0.084734,0.023330
存货周转天数 Inventory turnover days,949.90,824.28,998.35,876.06,992.13,944.04,891.33,897.32,1236.74,1402.68,1692.76,1501.34,1504.49,1788.68,2092.96,2372.30,2067.68,1311.19,1274.81,1198.45,1212.06,1264.90,1305.79,1311.16,1333.78,1418.73
应付账款周转天数 AP turnover days,55.34,25.35,18.38,24.55,25.85,17.56,16.61,21.13,41.30,49.99,64.33,47.57,46.21,52.41,77.44,114.21,102.84,62.45,60.72,66.12,63.92,68.10,79.89,84.60,87.46,92.18
现金及金融资产/总资产 Cash&financial/TA,0.363306,0.564891,0.452900,0.472130,0.454736,0.483021,0.467487,0.450577,0.513751,0.492834,0.503697,0.523044,0.490286,0.454159,0.420668,0.426421,0.591980,0.652766,0.701139,0.072398,0.169222,0.203712,0.230471,0.274272,0.204250,0.185299
固定资产PPE/总资产 PPE/TA,0.142113,0.119605,0.119590,0.088939,0.112263,0.121796,0.127774,0.174306,0.139022,0.160283,0.163824,0.155469,0.151280,0.153699,0.157511,0.132280,0.127978,0.113246,0.095395,0.082736,0.076033,0.068473,0.077574,0.073008,0.073162,0.074014
存货/总资产 Inventory/TA,0.403775,0.227052,0.273884,0.245141,0.265741,0.230906,0.206974,0.219895,0.197698,0.212055,0.217845,0.205929,0.214802,0.213452,0.227443,0.208725,0.182604,0.163862,0.147059,0.138137,0.135284,0.130872,0.152551,0.170280,0.181784,0.202174
(应收+预付)/总资产 Receivables&prepay/TA,0.049755,0.014354,0.012429,0.006792,0.005652,0.006959,0.007470,0.005079,0.049286,0.061939,0.059839,0.053387,0.086463,0.077641,0.043546,0.017126,0.009263,0.005875,0.007397,0.008465,0.004210,0.001525,0.003608,0.000348,0.000154,0.000030
当年分红率 Payout ratio,,0.313931,,0.080760,,0.171387,0.492059,0.249703,0.232840,0.286414,0.255969,0.303767,0.323609,0.488351,0.333660,0.358258,0.499481,0.328855,0.467028,0.488210,0.515898,0.504688,0.914740,0.786185,0.822829,0.816833
