# 贵州茅台 中期财务档案 · 2026中报增量 (2026-08-15披露·未经审计) · 一手PDF逐行提取+勾稽校验
# 数据源: 贵州茅台-2026-H1.pdf / 贵州茅台-2026-Q1.pdf / 贵州茅台-2025-H1.pdf (report/贵州茅台/)
# 口径: 金额单位=元(分部=万元·与年报MD&A一致); Q2派生 = H1累计 − Q1累计; 空 = 该期未提取或无披露
# 年度序列真源在 利润表/资产负债表/现金流量表.csv (2000-2025); 本文件只存中期档案·不与年度表混排
项目,单位,2025-Q1,2025-Q2派生,2025-H1,2026-Q1,2026-Q2派生,2026-H1,备注
存货其中·原材料(期末),元,,,,,,2480473410.45,"2025年末 3,738,451,309.98(附注8·账面价值)"
存货其中·在产品(期末),元,,,,,,19295520769.07,"2025年末 25,663,368,216.66(附注8·账面价值)"
存货其中·库存商品_成品(期末),元,,,,,,4618161161.62,"2025年末 4,506,771,668.40(附注8·账面价值)"
存货其中·自制半成品_基酒(期末),元,,,,,,34923053030.16,"2025年末 27,518,830,601.14(附注8·账面价值)"
分部·茅台酒,万元,,,7558994.89,4600486.86,3171956.93,7772443.79,
分部·系列酒,万元,,,1376252.94,788087.83,505330.82,1293418.65,
分部·直销,万元,,,4000959.89,2950403.39,2245801.31,5196204.70,
分部·批发代理,万元,,,4934287.94,2438171.30,1431486.44,3869657.74,
分部·国内,万元,,,8645947.06,5373378.73,3588833.53,8962212.26,
分部·国外,万元,,,289300.77,15195.96,88454.22,103650.18,
分部·i茅台不含税收入,万元,,,1076043.75,2155304.59,1871051.83,4026356.42,
经销商国内(期末),家,,,2280,2098,,2307,2025年末2353(报告期增减倒推·Q1/H1互证)·H1净-46·公司注明主要为系列酒经销商
经销商国外(期末),家,,,115,124,,119,2025年末126
茅台酒基酒产量,万吨,,,4.37,,,4.10,
系列酒基酒产量,万吨,,,2.96,,,3.10,
营业收入YoY,%,,,,6.54,-5.14,1.47,Q2派生=-5.14
归母净利YoY,%,,,,1.47,-6.90,-1.95,Q2派生=-6.90
扣非归母YoY,%,,,,1.45,-7.10,-2.04,Q2派生=-7.10
收现比(销售收现÷营业收入),倍,,,1.064,,,1.085,销售端回款质量·>1为健康
酒类毛利率(1-营业成本÷营业收入),%,,,91.30,,,89.56,2026H1同比-1.75pp·营业成本+21.8%·公司归因销量增加及生产成本增加
现金含量(经营现金流÷净利润),倍,,,0.279,,,1.536,两年均被财司科目扭曲(2025H1压低/2026H1推高)·销售端看收现比
直销占主营比,%,,,44.78,54.75,61.07,57.32,2026Q2单季61.07%·渠道模式重构
i茅台占主营比,%,,,12.04,40.00,,44.41,i茅台H1收入同比+274%(107.60亿→402.64亿)
