# 单位: 比率为倍数(1=100%)、天数为天、金额为百万美元、EPS 为美元/股；空 = 所需分项该年不可得。**全部为派生值**，年报不直接给。
# 分母口径写在行名里。ROE/ROA 用期初期末平均净资产/总资产，故 FY1993(无期初数)为空。EBIT 为派生(税前+利息费用净额)，与分部表里 NIKE 自己披露的 EBIT 口径一致但不逐年等同。
# 🔴【复权】三行已按本库自证的拆股链折算到 FY2026 股本口径，跨年比每股数据请用这三行，**不要用 利润表.csv 的 as-reported EPS/股数**。
科目,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
capex/经营现金流 Capex / OCF,0.3656,0.1653,0.6046,0.6558,1.442,0.9776,0.3997,0.5526,0.4838,0.2615,0.2026,0.1412,0.1637,0.2001,0.1669,0.232,0.2625,0.1059,0.2384,0.3144,0.2101,0.293,0.2058,0.3692,0.3036,0.2075,0.1896,0.437,0.1044,0.1461,0.1659,0.1093,0.1163,0.2385
capex/营收 Capex / revenue,0.0247,0.0251,0.0324,0.0334,0.0507,0.053,0.0438,0.0467,0.0335,0.0286,0.0174,0.0175,0.0187,0.0223,0.0192,0.0241,0.0238,0.0176,0.0207,0.0247,0.0251,0.0317,0.0315,0.0353,0.0322,0.0282,0.0286,0.029,0.0156,0.0162,0.0189,0.0158,0.0093,0.0147
自由现金流 FCF = OCF − capex(mn),168.3,481.2,100.8,113.6,-142.8,11.6,576.9,340.0,338.9,798.7,731.5,1300.5,1313.6,1334.2,1565.2,1487.1,1280.4,2829.1,1380.0,1302.0,2391.0,2123.0,3717.0,1953.0,2535.0,3927.0,4784.0,1399.0,5962.0,4430.0,4872.0,6617.0,3268.0,2184.0
应收账款增速−营收增速(pp) ΔAR% − ΔRev%,,,24.0413,-8.1036,-11.6631,-8.5343,0.1043,-0.7264,-2.0301,7.1933,8.1422,-13.638,-5.4397,-2.9296,-5.0439,-2.0452,0.2217,-7.2722,8.7049,-11.1301,-9.8808,0.349,-12.2927,-9.2847,7.3555,-10.8273,14.6538,-31.269,43.2739,-0.3058,-21.1338,6.8822,16.3887,25.5445
应收账款周转天数 DSO,,67.7759,80.7465,75.9321,69.6943,63.9746,64.0473,63.5933,62.3694,66.6725,71.6931,63.1573,60.0935,58.4761,55.7743,54.7745,54.8925,50.8666,54.9022,49.6187,44.9455,45.0883,40.0533,36.5383,39.0715,35.079,39.862,26.8263,36.5754,36.4687,29.4397,31.4601,37.1786,46.6575
存货周转天数 DIO,,74.5416,80.2152,87.0013,88.7859,84.0424,79.6841,97.6702,89.854,83.5074,87.579,85.1635,86.7032,90.5837,84.5019,86.919,81.3781,72.9314,87.2798,89.5328,87.78,93.8354,95.7424,101.5,96.9154,93.9418,94.8126,127.1,101.8,121.8,106.7,96.3805,103.1,103.4
应付账款周转天数 DPO,,33.401,37.9229,42.5103,45.5736,35.1791,24.7962,36.731,27.2572,30.6603,33.1088,39.8188,40.4002,41.5341,41.4286,45.8977,35.6275,44.8316,47.2243,42.4412,42.0751,45.8835,47.0434,45.9474,39.2646,40.6944,44.0503,38.7733,42.12,48.5779,36.1151,36.5449,47.884,49.6092
现金转换周期 CCC = DSO+DIO−DPO,,108.9,123.0,120.4,112.9,112.8,118.9,124.5,125.0,119.5,126.2,108.5,106.4,107.5,98.8476,95.7958,100.6,78.9663,94.9577,96.7103,90.6504,93.0402,88.7523,92.0485,96.7222,88.3264,90.6243,115.1,96.2503,109.7,100.0,91.2958,92.3711,100.4
现金及短投/总资产 Cash & ST investments / assets,,0.2186,0.0688,0.0663,0.0831,0.0201,0.0377,0.0434,0.0522,0.0893,0.0944,0.1557,0.2075,0.2333,0.2664,0.2231,0.2608,0.3569,0.3026,0.2429,0.3392,0.2765,0.2743,0.255,0.2657,0.2327,0.1966,0.2804,0.3571,0.3223,0.2844,0.3039,0.2502,0.235
存货/总资产 Inventories / assets,,0.198,0.2004,0.2357,0.2497,0.2588,0.2285,0.2469,0.2447,0.2132,0.2256,0.207,0.206,0.2104,0.1985,0.196,0.1779,0.1415,0.181,0.2166,0.1953,0.2123,0.2008,0.2261,0.2173,0.2334,0.237,0.2351,0.1816,0.2088,0.2253,0.1973,0.2047,0.1953
应收账款/总资产 AR / assets,,0.2964,0.3351,0.3406,0.3272,0.3102,0.2935,0.2676,0.2786,0.2805,0.3129,0.2687,0.2572,0.2428,0.2334,0.2247,0.2177,0.1838,0.2092,0.2121,0.1773,0.1847,0.1555,0.1515,0.1581,0.1552,0.1801,0.0877,0.1183,0.1157,0.1101,0.1162,0.129,0.1544
固定资产/总资产 PP&E / assets,,0.1709,0.1766,0.1628,0.1721,0.2136,0.2412,0.2703,0.2782,0.2506,0.2414,0.2011,0.1826,0.168,0.157,0.152,0.1478,0.134,0.141,0.1474,0.1394,0.1524,0.1394,0.1645,0.1715,0.1976,0.2,0.1553,0.1299,0.1188,0.1354,0.1312,0.132,0.1249
使用权资产/总资产 ROU assets / assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0988,0.0825,0.0726,0.0779,0.0713,0.0741,0.0739
商誉+无形/总资产 Goodwill & intangibles / assets,,0.0687,0.1578,0.1202,0.0866,0.0807,0.0813,0.0702,0.0683,0.0679,0.0274,0.0636,0.0616,0.0543,0.0506,0.0958,0.0499,0.0454,0.0461,0.0476,0.0292,0.0222,0.0191,0.0193,0.0181,0.0195,0.0184,0.0159,0.0135,0.0141,0.0148,0.0131,0.0136,0.013
资产负债率 Liabilities / assets,,0.2666,0.3748,0.3847,0.4114,0.3957,0.3646,0.4646,0.3995,0.4042,0.4056,0.3941,0.3581,0.3632,0.3427,0.3711,0.3439,0.3236,0.3437,0.3287,0.3656,0.4179,0.4117,0.4271,0.4666,0.5646,0.6188,0.743,0.6617,0.621,0.6269,0.6214,0.6388,0.613
有息负债(含租赁负债)合计 Interest-bearing debt incl. leases(mn),,143.7,439.6,462.0,851.4,861.2,806.2,1444.6,1296.6,1106.4,832.7,835.0,763.3,709.4,541.2,625.1,812.1,591.8,663.0,385.0,1388.0,1373.0,1260.0,2055.0,3802.0,3810.0,3479.0,13015.0,12813.0,12627.0,12144.0,11952.0,11018.0,11033.0
有息债务(不含租赁负债) Interest-bearing debt excl. leases(mn),,143.7,439.6,462.0,851.4,861.2,806.2,1444.6,1296.6,1106.4,832.7,835.0,763.3,709.4,541.2,625.1,812.1,591.8,663.0,385.0,1388.0,1373.0,1260.0,2055.0,3802.0,3810.0,3479.0,9657.0,9415.0,9430.0,8933.0,8909.0,7966.0,7942.0
净现金(不含租赁负债口径) Net cash excl. leases(mn),,375.1,-223.5,-199.9,-406.0,-752.6,-608.1,-1190.3,-992.6,-530.9,-198.7,393.8,1061.4,1593.6,2305.8,2151.0,2643.0,4554.1,3875.0,3372.0,4577.0,3769.0,4664.0,3402.0,2377.0,1435.0,1184.0,-870.0,4061.0,3567.0,1742.0,2673.0,1185.0,1085.0
有息负债/净资产 Debt / equity,,0.0825,0.2237,0.19,0.2698,0.264,0.2418,0.4607,0.371,0.2882,0.2087,0.1746,0.1352,0.1129,0.077,0.0799,0.0934,0.0607,0.0674,0.0371,0.1244,0.1268,0.0992,0.1676,0.3064,0.3883,0.3848,1.6158,1.0036,0.8263,0.8672,0.8283,0.8339,0.7422
净现金(现金+短投−有息负债) Net cash(mn),,375.1,-223.5,-199.9,-406.0,-752.6,-608.1,-1190.3,-992.6,-530.9,-198.7,393.8,1061.4,1593.6,2305.8,2151.0,2643.0,4554.1,3875.0,3372.0,4577.0,3769.0,4664.0,3402.0,2377.0,1435.0,1184.0,-4228.0,663.0,370.0,-1469.0,-370.0,-1867.0,-2006.0
已付股息 Dividends paid(mn),53,60.3,65.4,78.8,100.9,127.3,136.2,133.1,129.7,128.9,137.8,179.2,236.7,290.9,343.7,412.9,466.7,505.4,555.0,619.0,703.0,799.0,899.0,1022.0,1133.0,1243.0,1332.0,1452.0,1638.0,1837.0,2012.0,2169.0,2300.0,2407.0
回购金额 Buybacks(mn),,140.1,142.9,18.8,,202.3,299.8,646.3,157.0,226.9,196.3,419.8,556.2,761.1,985.2,1248.0,649.2,741.2,1859.0,1814.0,1674.0,2628.0,2534.0,3238.0,3223.0,4254.0,4286.0,3067.0,608.0,4014.0,5480.0,4250.0,2985.0,146.0
分红率(已付股息/净利) Payout ratio (cash paid),0.1452,0.2018,0.1636,0.1424,0.1268,0.3186,0.3017,0.2298,0.2199,0.1943,0.2907,0.1895,0.1954,0.209,0.2304,0.2192,0.3139,0.2651,0.2602,0.2785,0.2829,0.2967,0.2747,0.2718,0.2672,0.643,0.3306,0.5719,0.286,0.3038,0.3968,0.3805,0.7145,0.7745
回购率(回购/净利) Buyback / net income,,0.4689,0.3575,0.034,,0.5063,0.6642,1.116,0.2662,0.3421,0.4141,0.444,0.4591,0.5468,0.6605,0.6626,0.4367,0.3887,0.8715,0.816,0.6736,0.9759,0.7742,0.8612,0.7601,2.2007,1.0638,1.208,0.1062,0.6639,1.0809,0.7456,0.9273,0.047
股东总回报率((股息+回购)/净利) Total payout / net income,0.1452,0.6707,0.5211,0.1764,0.1268,0.8248,0.9659,1.3459,0.4862,0.5364,0.7049,0.6335,0.6544,0.7557,0.891,0.8819,0.7506,0.6538,1.1317,1.0945,0.9565,1.2726,1.0489,1.133,1.0274,2.8438,1.3944,1.7798,0.3922,0.9677,1.4777,1.1261,1.6418,0.8214
股东总回报/经营现金流 Total payout / OCF,0.1998,0.3476,0.8172,0.2958,0.3123,0.6369,0.4537,1.0257,0.4367,0.329,0.3642,0.3955,0.5048,0.6307,0.7074,0.8578,0.6428,0.394,1.3322,1.2812,0.7853,1.1412,0.7335,1.376,1.1967,1.1094,0.9517,1.8185,0.3374,1.1278,1.2827,0.864,1.4292,0.8902
累计已付股息(FY1993起) Cumulative dividends(mn),53,113.3,178.7,257.5,358.4,485.7,621.9,755.0,884.7,1013.6,1151.4,1330.6,1567.3,1858.2,2201.9,2614.8,3081.5,3586.9,4141.9,4760.9,5463.9,6262.9,7161.9,8183.9,9316.9,10559.9,11891.9,13343.9,14981.9,16818.9,18830.9,20999.9,23299.9,25706.9
累计回购(FY1993起) Cumulative buybacks(mn),0,140.1,283.0,301.8,301.8,504.1,803.9,1450.2,1607.2,1834.1,2030.4,2450.2,3006.4,3767.5,4752.7,6000.7,6649.9,7391.1,9250.1,11064.1,12738.1,15366.1,17900.1,21138.1,24361.1,28615.1,32901.1,35968.1,36576.1,40590.1,46070.1,50320.1,53305.1,53451.1
累计行权所得(FY1993起·唯一的股权融资来源) Cumulative option proceeds(mn),7.1,11.4,17.6,38.8,65.1,97.3,151.7,175.6,231.6,291.1,335.3,588.9,815.7,1041.0,1363.9,1707.2,1893.8,2258.3,2603.3,3071.3,3384.3,3767.3,4281.3,4788.3,5277.3,6010.3,6710.3,7595.3,8767.3,9918.3,10569.3,11236.3,11787.3,12141.3
累计给股东净额(股息+回购−行权所得) Cumulative net to shareholders(mn),45.9,242.0,444.1,520.5,595.1,892.5,1274.1,2029.6,2260.3,2556.6,2846.5,3191.9,3758.0,4584.7,5590.7,6908.3,7837.6,8719.7,10788.7,12753.7,14817.7,17861.7,20780.7,24533.7,28400.7,33164.7,38082.7,41716.7,42790.7,47490.7,54331.7,60083.7,64817.7,67016.7
拆股复权因子(相对FY2026) Split factor,32,32,32,16,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1
【复权】基本EPS(美元·FY2026股本口径),0.1481,0.1237,0.17,0.2356,0.335,0.1725,0.1988,0.2625,0.2725,0.3125,0.35,0.4487,0.5763,0.6713,0.74,0.95,0.7675,0.9825,1.12,1.2075,1.375,1.525,1.9,2.21,2.56,1.19,2.55,1.63,3.64,3.83,3.27,3.76,2.17,2.1
【复权】摊薄EPS(美元·FY2026股本口径),,,,,,0.1688,0.1963,0.2587,0.27,0.3075,0.3463,0.4387,0.56,0.66,0.7325,0.935,0.7575,0.965,1.0975,1.1825,1.345,1.485,1.85,2.16,2.51,1.17,2.49,1.6,3.56,3.75,3.23,3.73,2.16,2.1
【复权】基本加权股数(百万股·FY2026股本口径),2467.2,2416.0,2352.0,2348.8,2376.0,2309.6,2266.4,2205.6,2160.0,2141.6,2116.0,2105.6,2100.8,2072.0,2015.2,1982.4,1939.6,1942.0,1902.0,1840.0,1794.6,1766.8,1723.4,1697.9,1657.8,1623.8,1579.7,1558.8,1573.0,1578.8,1551.6,1517.6,1484.9,1479.8
存货/营收 Inventories / revenue,,0.124,0.1323,0.1439,0.1457,0.1462,0.1366,0.1608,0.1501,0.1389,0.1416,0.1333,0.1318,0.1389,0.13,0.1309,0.1229,0.1073,0.1301,0.1388,0.1357,0.142,0.1417,0.1494,0.1472,0.1445,0.1437,0.197,0.1539,0.1803,0.1651,0.1464,0.1617,0.1617
DTC(直营)占比 NIKE Direct / total revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3146,0.3471,0.3848,0.4208,0.4351,0.4352,0.4206,0.3922
批发占比 Wholesale / total revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6818,0.6499,0.6119,0.5759,0.5603,0.5618,0.5778,0.6047
大中华占比 Greater China / total revenue,,,,,,,,,,,,,,,,,0.0909,0.0916,0.0987,0.1052,0.0969,0.0936,0.1002,0.1169,0.1233,0.1411,0.1587,0.1786,0.1861,0.1616,0.1415,0.1469,0.1422,0.126
北美占比 North America / total revenue,,,,,,,,,,,,,,,,,0.3535,0.3522,0.3632,0.3663,0.4103,0.4424,0.449,0.456,0.443,0.4081,0.4065,0.3872,0.3857,0.3929,0.4219,0.4166,0.4226,0.4421
鞋类占比 Footwear / total revenue,,,,,,,,,,,,,,,,,0.5375,0.5434,0.5509,0.5564,0.5744,0.583,0.5986,0.6138,0.6137,0.6118,0.6616,0.667,0.6737,0.6687,0.689,0.6859,0.6687,0.6582
