# 单位: 百万美元(US$ mn)，EPS 为美元/股、股数为百万股 | 财年截至 5 月 31 日 | as-reported(各财年取自家 10-K 当年列) | 费用为正 | EPS/股数是该次申报的拆股基准、不可跨年直接比(见 财务比率.csv 拆股归一列) | 空=该期财报无此科目
科目,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025,FY2026
无形及其他资产减值 Intangible and other asset impairment,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,
"利息费用净额(费用为正) Interest expense (income), net",25.7,15.3,24.2,39.5,52.3,60,44.1,45,58.7,47.6,42.9,25,4.8,-36.8,-67.2,-77.1,-9.5,6.3,4,3,-3,33,28,19,59,54,49,89,262,205,-6,-161,-107,-50
"其他(收入)支出净额(支出为正) Other (income) expense, net",1.5,8.3,11.7,36.7,32.3,20.9,21.5,23.2,34.2,3,79.9,74.7,29.1,4.4,-0.9,7.9,-88.5,-49.2,-33,54,-15,103,-58,-140,-196,66,-78,139,14,-181,-280,-228,-76,-53
税前利润 Income before income taxes,594.5,490.6,649.9,899.1,1295.2,653,746.1,919.2,921.4,1017.3,1123,1450,1859.8,2141.6,2199.9,2502.9,1956.5,2516.9,2844,2983,3272,3544,4205,4623,4886,4325,4801,2887,6661,6651,6201,6700,3885,3900
所得税 Income taxes,229.5,191.8,250.2,345.9,499.4,253.4,294.7,340.1,331.7,349,382.9,504.4,648.2,749.6,708.4,619.5,469.8,610.2,711,760,808,851,932,863,646,2392,772,348,934,605,1131,1000,666,792
持续经营净利(仅FY2012-2014) Net income from continuing operations,,,,,,,,,,,,,,,,,,,,,2464,2693,3273,,,,,,,,,,,
终止经营损益(仅FY2012-2014) Net income (loss) from discontinued operations,,,,,,,,,,,,,,,,,,,,,21,0,0,,,,,,,,,,,
会计变更前利润(仅FY2002-2005) Income before cumulative effect,,,,,,,,,,668.3,740.1,945.6,1211.6,,,,,,,,,,,,,,,,,,,,,
会计变更累积影响(减项为正·仅FY2002-2005) Cumulative effect of accounting change,,,,,,,,,,5,266.1,,,,,,,,,,,,,,,,,,,,,,,
净利润 Net income,365,298.8,399.7,553.2,795.8,399.6,451.4,579.1,589.7,663.3,474,945.6,1211.6,1392,1491.5,1883.4,1486.7,1906.7,2133,2223,2485,2693,3273,3760,4240,1933,4029,2539,5727,6046,5070,5700,3219,3108
基本EPS(as-reported·拆股基准随年变) Basic EPS,4.74,3.96,5.44,3.77,2.68,1.38,1.59,2.10,2.18,2.50,2.80,3.59,4.61,5.37,2.96,3.80,3.07,3.93,4.48,4.83,2.75,3.05,3.80,2.21,2.56,1.19,2.55,1.63,3.64,3.83,3.27,3.76,2.17,2.10
摊薄EPS(as-reported·拆股基准随年变) Diluted EPS,,,,,,1.35,1.57,2.07,2.16,2.46,2.77,3.51,4.48,5.28,2.93,3.74,3.03,3.86,4.39,4.73,2.69,2.97,3.70,2.16,2.51,1.17,2.49,1.60,3.56,3.75,3.23,3.73,2.16,2.10
基本股数(百万股·as-reported) Basic shares,77.1,75.5,73.5,146.8,297,288.7,283.3,275.7,270,267.7,264.5,263.2,262.6,259,503.8,495.6,484.9,485.5,475.5,460,897.3,883.4,861.7,1697.9,1657.8,1623.8,1579.7,1558.8,1573,1578.8,1551.6,1517.6,1484.9,1479.8
摊薄股数(百万股·as-reported) Diluted shares,,,,,,295,288.3,279.4,273.3,272.2,267.6,269.7,270.3,263.8,509.9,504.1,490.7,493.9,485.7,469.8,916.4,905.8,884.4,1742.5,1692,1659.1,1618.4,1591.6,1609.4,1610.8,1569.8,1529.7,1487.6,1481
每股宣派股息(as-reported) Dividends declared per share,,,,,,,,,,,,,0.95,1.18,0.71,0.88,0.98,1.06,1.20,1.39,0.81,0.93,1.08,0.62,0.70,0.78,,,,,,,,
