# 财务比率（特步国际 01368.HK）· 派生自本目录三表，非财报直接披露
# 通用底 = scripts/derived.py compute_common_ratios()；其余为特步定制层
# 比率为小数（0.44 = 44%）；天数为天；标(百万元)者为金额
# ⚠️ 总资产：特步资产负债表不印「资产总值」行，此处 = 非流动资产合计 + 流动资产合计
# ⚠️ 归母：2011 年前与 2024 年起财报不印「应占」拆分行（该两段非控股权益为零），已用「年内溢利 − 非控股权益应占溢利」补全
# ⚠️ 2024/2025 营收与利润为**持续经营**口径（KP Global 已终止经营），与 2023 及以前的 as-reported 口径不可直接比 —— 见 README 口径断点表
# ⚠️ 分红率分母用「已付股东股息」(现金流量表·年内实付)，与「宣派」口径有跨年时间差
指标,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
资产负债率 Liabilities/Total assets,,,,,,0.2175,0.2882,0.3415,0.3831,0.4011,0.3996,0.3855,0.4035,0.4205,0.4352,0.4194,0.4538,0.4964,0.485,0.455,0.3963
归母/净利 Parent/Net profit,1,1,1,1,1,1,1.0011,1.0036,1.0045,0.9836,0.9781,0.9212,0.9144,0.9799,0.9948,1.0159,1.0213,1.0103,0.9971,1,1
应收账款周转天数 AR turnover days,124.5843,109.2539,56.4692,48.4575,54.0327,51.1735,63.6632,73.6958,91.8915,100.8783,116.556,135.1014,139.5372,112.1221,112.0742,137.2505,123.2807,109.2548,116.8876,134.2379,131.114
存货周转天数 Inventory turnover days,157.2612,133.2948,68.2772,48.7704,46.859,50.2391,63.0624,69.5189,78.7169,71.2909,57.7239,51.0806,74.8986,79.7602,74.1475,74.1628,77.3187,90.4204,89.7774,80.2107,77.274
应付账款周转天数 AP turnover days,68.343,73.5748,29.9803,43.9171,69.1401,74.4041,63.2809,54.3961,76.1876,85.7428,96.9512,106.684,122.375,97.872,90.5502,106.3614,119.8229,122.4253,116.6455,111.8393,89.1568
现金及金融资产/总资产 Cash&financial/TA,,,,,,0.5704,0.4713,0.5662,0.6006,0.5078,0.5394,0.5194,0.5355,0.4763,0.3641,0.3507,0.3054,0.2705,0.2572,0.3078,0.3071
固定资产PPE/总资产 PPE/TA,,,,,,0.046,0.0469,0.0595,0.0745,0.0744,0.0729,0.0756,0.0723,0.0697,0.0537,0.0633,0.0765,0.0829,0.0919,0.1045,0.1041
存货/总资产 Inventory/TA,,,,,,0.108,0.1222,0.0897,0.0735,0.0723,0.0491,0.0562,0.0804,0.0909,0.0849,0.0775,0.1025,0.1387,0.1035,0.0999,0.1082
(应收+预付)/总资产 Receivables&prepay/TA,,,,,,0.2498,0.3164,0.2242,0.2103,0.2433,0.2802,0.3072,0.2663,0.309,0.3025,0.3289,0.3401,0.3385,0.3513,0.3794,0.3697
当年分红率 Payout ratio,,,,0.4442,0.5918,0.5794,0.4654,0.6046,0.7069,0.6019,0.5087,0.7458,0.6636,0.6996,0.5998,0.544,0.3924,0.5971,0.4551,1.1657,0.4447
经营溢利率 Operating margin,,,,0.206,0.1978,0.2194,0.2201,0.2038,0.2062,0.1693,0.1739,0.1699,0.1417,0.1636,0.1508,0.1124,0.1394,0.1132,0.1101,0.1448,0.1427
有息负债(含可换股债券)/总资产 Debt/TA,,,,,,,0.0895,0.1609,0.2088,0.2338,0.1985,0.1837,0.2071,0.2113,0.1911,0.1716,0.1736,0.1962,0.2034,0.1807,0.1439
净现金 Net cash(百万元),-72.341,-166.904,99.018,2018.938,2497.635,2443.702,2097.805,2634.532,2863.069,2154.24,2766.265,2743.721,2933.774,2437.639,2131.673,2251.406,1925.43,1225.666,932.184,2030.772,2759.199
净现金/总资产 Net cash/TA,,,,,,0.5704,0.3818,0.4053,0.3918,0.2739,0.3409,0.3357,0.3284,0.265,0.173,0.1791,0.1317,0.0743,0.0538,0.1272,0.1633
分占联营损益/除税前溢利 Assoc/PBT,,,,,,,,,,,,,,,-0.0018,-0.0223,-0.0359,-0.0089,0.0102,0.0176,0.0276
(应收+票据+存货)/营收 Working capital/Revenue,0.6857,0.7017,0.3135,0.2843,0.2224,0.2669,0.3388,0.2916,0.3886,0.4309,0.4325,0.4749,0.4937,0.4623,0.4835,0.5153,0.5019,0.5027,0.4719,0.4866,0.4935
持续经营业务溢利率 Continuing op margin,,,,,,,,,,,,,,,,,,,,0.0962,0.0969
累计已付股息 Cumulative dividends paid(百万元),,,,225.751,608.934,1080.407,1530.215,2019.987,2448.339,2736.073,3052.777,3446.45,3717.29,4176.619,4613.051,4892.136,5248.569,5798.923,6267.676,7711.28,8321.261
"累计股权融资净额 Cumulative equity raised, net(百万元)",,,,1841.54,1841.54,1848.374,1849.033,1849.177,1850.023,1852.478,1767.744,1830.134,1837.391,1812.268,2999.364,3030.115,3030.115,3030.115,3030.115,3030.115,3485.839
累计分红/累计股权融资 Dividends/Equity raised,,,,0.1226,0.3307,0.5845,0.8276,1.0924,1.3234,1.477,1.7269,1.8832,2.0231,2.3046,1.538,1.6145,1.7321,1.9138,2.0685,2.5449,2.3872
