报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20180930,,26438870647.47,,,,,,,,,,,4336017.86,1056252658.69,27499459324.02,5630219819.98,,,,,,3733232035.69,12154156688.99,2104980744.91,23622589289.57,3876870034.45,,,36000000.0,5270982.83,,,,,41270982.83,266963573.64,,,,,,266963573.64,-225692590.81,,1813717926.36,980000.0,,,,1813717926.36,,5409549048.53,363458642.03,,5409549048.53,-3595831122.17,383156.81,55729478.28,40591803405.78,,,,,40647532884.06,定期报告,未审计,20191031,CNY,合并期末,2020-03-13T14:58:48
20181231,,46031388431.46,,,,,,,,,,,17688897.86,1237237895.28,47286315224.6,13866014356.07,,,,,,4824010398.0,13308818523.69,2970112911.94,34968956189.7,12317359034.9,,8000000.0,36240580.82,5584385.41,,,,,49824966.23,381381461.74,,,,,,381381461.74,-331556495.51,,1813717926.36,980000.0,,,,1813717926.36,,5409549048.53,363458642.03,22092404.6,5431641453.13,-3617923526.77,366479.55,8368245492.17,40591803405.78,48888727143.63,40529000014.21,71321754.32,62803391.57,48960048897.95,定期报告,是,20200428,CNY,合并期末,2020-03-13T14:58:48
20190331,,17697564959.4,,,,,,,,,,,3317520.0,297770126.79,17998652606.19,2085923984.42,,,,,,1965410864.59,5142115312.13,878632526.55,10072082687.69,7926569918.5,,,,1476304.92,,,,,1476304.92,96106689.64,,,,,,96106689.64,-94630384.72,,,,,,,0.0,,,,,0.0,0.0,-102570.99,7831836962.79,48960048897.95,,,,,56791885860.74,定期报告,未审计,20200428,CNY,合并期末,2020-03-13T14:58:48
20190630,,27964523311.49,,,,,,,,,,,15406322.3,561348084.34,28541277718.13,4612616298.06,,,,,,3023786794.24,10788147008.7,1750914988.09,20175465089.09,8365812629.04,,,,15390657.58,,,,,15390657.58,1292470007.83,9800000.0,,,,,1302270007.83,-1286879350.25,,,,,,,0.0,,6147141158.17,543507232.77,,6147141158.17,-6147141158.17,28848.17,931820968.79,48960048897.95,49783748480.27,48888727143.63,108121386.47,71321754.32,49891869866.74,定期报告,未审计,20200828,CNY,合并期末,2020-03-13T14:58:48
20190930,,42324123606.97,,,,,,,,,,,18883922.3,1262399151.83,43605406681.1,6837695761.55,,,,,,4351646469.25,13591161939.66,2633579856.04,27414084026.5,16191322654.6,,,,15534655.02,,,,,15534655.02,1459724888.58,9800000.0,,,,,1469524888.58,-1453990233.56,,,,,,,0.0,,7245046962.56,646313354.06,,7245046962.56,-7245046962.56,37476.1,7492322934.58,48960048897.95,,,,,56452371832.53,定期报告,未审计,20201030,CNY,合并期末,2020-03-13T14:58:48
20191231,,63111448367.92,,,,,,,,,,,29278082.3,1463776630.55,64604503080.77,16858330333.04,,,,,,5633645226.36,15634936299.82,3365519180.89,41492431040.11,23112072040.66,,,,92050811.98,,,,,92050811.98,1698655125.66,9800000.0,,,,,1708455125.66,-1616404313.68,,,,,,,0.0,,7251646962.56,652913354.06,,7251646962.56,-7251646962.56,63661.42,14244084425.84,48960048897.95,63138829242.88,48888727143.63,65304080.91,71321754.32,63204133323.79,定期报告,是,20210428,CNY,合并期末,2020-04-28T01:50:02
20200331,,12687016441.39,,,,,,,,,,,,428989260.84,13116005702.23,2140990113.91,,,,,,1843635458.65,9167773150.58,1165397956.06,14317796679.2,-1201790976.97,,,,39183.12,,,,,39183.12,144478236.1,,,,,,144478236.1,-144439052.98,,,,,,,0.0,,,,,0.0,0.0,20659.46,-1346209370.49,63204133323.79,,,,,61857923953.3,定期报告,未审计,20210428,CNY,合并期末,2020-04-28T01:50:02
20200630,,28614032642.28,,,,,,,,,,,14794151.36,835788915.37,29464615709.01,5429345270.77,,,,,,3488477427.26,17213295647.8,2165364659.19,28296483005.02,1168132703.99,,,,15674889.87,,,,,15674889.87,277680164.56,,,,,,277680164.56,-262005274.69,,15000000.0,15000000.0,,,,15000000.0,,8539537611.0,,,8539537611.0,-8524537611.0,20578.49,-7618389603.21,63204133323.79,55471343720.58,63138829242.88,114400000.0,65304080.91,55585743720.58,定期报告,未审计,20210830,CNY,合并期末,2020-08-27T22:45:02
20200930,,38577280256.85,,,,,,,,,,,27017351.36,1564694541.75,40168992149.96,7161972510.93,,,,,,4584204123.61,21224900121.56,3254443758.88,36225520514.98,3943471634.98,,,,20587641.83,,,,,20587641.83,566814185.98,734693877.55,,,,,1301508063.53,-1280920421.7,,15000000.0,15000000.0,,,,15000000.0,,8541629011.28,2091400.28,,8541629011.28,-8526629011.28,-78536.8,-5864156334.8,63204133323.79,,,,,57339976988.99,定期报告,未审计,20211030,CNY,合并期末,2020-10-29T17:10:02
20201231,,62667576569.99,,,,,,,,,,,56724988.21,2243660435.98,64967961994.18,17340551154.28,,,,,,5740856054.71,23227933861.45,3960293330.53,50269634400.97,14698327593.21,,,,6438616.16,,,,,6438616.16,993760087.19,734693877.55,,,,,1728453964.74,-1722015348.58,,15000000.0,,,,,15000000.0,,9228223328.76,688685717.76,,9228223328.76,-9213223328.76,-130439.21,3762958476.66,63204133323.79,66967091800.45,63138829242.88,,65304080.91,66967091800.45,定期报告,是,20220429,CNY,合并期末,2021-04-28T00:35:03
20210331,,21065891918.69,,,,,,,,,,,3986400.0,332660108.03,21402538426.72,2538343134.79,,,,,,2862437571.83,9341173087.59,1155109530.41,15897063324.62,5505475102.1,,,,374750.04,,,,,374750.04,440643520.47,,,,,,440643520.47,-440268770.43,,,,,,,0.0,,,,,0.0,0.0,,5065206331.67,66967091800.45,,,,,72032298132.12,定期报告,未审计,20220429,CNY,合并期末,2021-04-28T00:35:03
20210630,,36084798412.09,,,,,,,,,,,16939135.96,629974790.0,36731712338.05,5182228427.74,,,,,,4119740667.12,16754147868.83,1968107391.55,28024224355.24,8707487982.81,,,41720016.0,529894.56,,,,,42249910.56,598145670.93,,,,,,598145670.93,-555895760.37,,,,,,,0.0,,37918093.23,37918093.23,194539159.07,232457252.3,-232457252.3,,7919134970.14,66967091800.45,74886226770.59,66967091800.45,,,74886226770.59,定期报告,未审计,20220826,CNY,合并期末,2021-08-29T20:10:04
20210930,,51964936525.86,,,,,,,,,,,23857668.08,1632818206.84,53621612400.78,7853960713.47,,,,,,5710336873.56,21635373817.94,3024047176.35,38223718581.32,15397893819.46,,,41720016.0,530594.56,,,,,42250610.56,914624704.11,5625000.0,,,,,920249704.11,-877999093.55,,,,,,,0.0,,9420001126.91,853746365.61,277798895.97,9697800022.88,-9697800022.88,,4822094703.03,66967091800.45,,,,,71789186503.48,定期报告,未审计,20221028,CNY,合并期末,2021-10-29T17:15:03
20211231,,80952960804.29,,,,,,,,,,,24522993.0,2045885363.36,83023369160.65,19137502429.86,,,,,,7240759270.94,25084613186.47,4785552400.33,56248427287.6,26774941873.05,,,41720016.0,6184352.82,,,,,47904368.82,1539129180.86,5625000.0,,,,,1544754180.86,-1496849812.04,,,,,,,0.0,,10874295018.51,859746365.61,395161935.55,11269456954.06,-11269456954.06,-469528.68,14008165578.27,66967091800.45,80975257378.72,66967091800.45,,,80975257378.72,定期报告,是,20230429,CNY,合并期末,2022-04-28T23:10:03
20220331,,13735340195.15,,,,,,,,,,,7517400.0,436281127.25,14179138722.4,2805652877.34,,,,,,3068475141.33,10354433267.74,1351603334.77,17580164621.18,-3401025898.78,,,,114513.64,,,,,114513.64,460335221.83,,,,,,460335221.83,-460220708.19,,,,,,,0.0,,565625.82,565625.82,153060278.46,153625904.28,-153625904.28,,-4014872511.25,80975257378.72,,,,,76960384867.47,定期报告,未审计,20230429,CNY,合并期末,2022-04-28T23:10:03
20220630,,31434148170.48,,,,,,,,,,,36861000.0,740870059.34,32211879229.82,5891776154.62,,,,,,4601009480.76,17387198131.42,2444820822.1,30324804588.9,1887074640.92,,,,1181474.38,,,,,1181474.38,915626539.57,,,,,,915626539.57,-914445065.19,,,,,,,0.0,,8450182269.29,565625.82,195921264.11,8646103533.4,-8646103533.4,,-7673473957.67,80975257378.72,73301783421.05,80975257378.72,,,73301783421.05,定期报告,未审计,20230826,CNY,合并期末,2022-08-25T17:35:03
20220930,,49024418045.48,,,,,,,,,,,61644000.0,1372934697.04,50458996742.52,8735773618.87,,,,,,6120956969.3,21448117445.48,3368671460.76,39673519494.41,10785477248.11,,,,3576977.61,,500000.0,,,4076977.61,1493291829.73,500000.0,,,,,1493791829.73,-1489714852.12,,,,,,,0.0,,12643051310.05,908950354.56,292454422.97,12935505733.02,-12935505733.02,,-3639743337.03,80975257378.72,,,,,77335514041.69,定期报告,未审计,20231028,CNY,合并期末,2022-10-27T17:20:33
20221231,,81770582903.92,,,,,,,,,,,72322800.0,2006197288.41,83849102992.33,19397297581.75,,,,,,7879082833.54,27773048881.11,4368537434.45,59417966730.85,24431136261.48,,,23038080.0,46667262.99,,,,,69705342.99,1780534893.52,5625000.0,,,,,1786159893.52,-1716454550.53,,,,,,,0.0,,12681422089.05,947321133.56,424009369.15,13105431458.2,-13105431458.2,136266.19,9609386518.94,80975257378.72,90584643897.66,80975257378.72,,,90584643897.66,定期报告,是,20240429,CNY,合并期末,2023-04-28T19:20:11
20230331,,28636841576.57,,,,,,,,,,,3544200.0,393079554.42,29033465330.99,4126909230.33,,,,,,3223644751.01,10471373027.74,1675920785.5,19497847794.58,9535617536.41,,,,-59806.29,,,,,-59806.29,1104203949.98,,,,,,1104203949.98,-1104263756.27,,,,,,,0.0,,13191392.99,13191392.99,99316800.33,112508193.32,-112508193.32,,8318845586.82,90584643897.66,,,,,98903489484.48,定期报告,未审计,20240429,CNY,合并期末,2023-04-28T19:20:11
20230630,,43051685416.56,,,,,,,,,,,24684000.0,754037354.75,43830406771.31,7505024442.31,,,,,,4794521049.72,17401299720.73,2799742672.25,32500587885.01,11329818886.3,,,,594829.45,,,,,594829.45,1345043512.81,,,,,,1345043512.81,-1344448683.36,,,,,,,0.0,,10606030081.23,17601392.99,201882821.01,10807912902.24,-10807912902.24,,-822542699.3,90584643897.66,89762101198.36,90584643897.66,,,89762101198.36,定期报告,未审计,20240829,CNY,合并期末,2023-08-25T18:55:03
20230930,,66818474225.22,,,,,,,,,,,79447720.0,1585621281.26,68483543226.48,10632691200.39,,,,,,6169872501.92,24955885296.52,4336349052.68,46094798051.51,22388745174.97,,,23638368.0,659564.36,,,,,24297932.36,2443147960.19,,,,,,2443147960.19,-2418850027.83,,,,,,,0.0,,14827364128.3,1197947298.97,302231617.63,15129595745.93,-15129595745.93,,4840299401.21,90584643897.66,,,,,95424943298.87,定期报告,未审计,20241031,CNY,合并期末,2023-10-27T17:15:03
20231231,,105349992178.96,,,,,,,,,,,83435000.0,2328844302.03,107762271480.99,21310361287.23,,,,,,7890206082.92,30999125076.75,5820099125.86,66019791572.76,41742479908.23,,,23638368.0,1765989.88,,,,,25404357.88,2957236682.34,,,,,,2957236682.34,-2931832324.46,,22618764.59,22618764.59,,,,22618764.59,,15894242592.66,1214001151.69,428610750.02,16322853342.68,-16300234578.09,627320.96,22511040326.64,90584643897.66,113095684224.3,90584643897.66,,,113095684224.3,定期报告,是,20250426,CNY,合并期末,2024-04-28T16:25:05
20240331,,21769115461.57,,,,,,,,,,,32080629.47,369777481.13,22170973572.17,4293925226.64,,,,,,3318713696.23,12107581035.3,1934558541.41,21654778499.58,516195072.59,,,,477438.15,,,,,477438.15,533620992.85,,,,,,533620992.85,-533143554.7,,,,,,,0.0,,,,92101623.64,92101623.64,-92101623.64,,-109050105.75,113095684224.3,,,,,112986634118.55,定期报告,未审计,20260430,CNY,合并期末,2024-04-28T16:25:05
20240630,,49648363358.43,,,,,,,,,,,44310389.47,814125658.15,50506799406.05,7486715895.21,,,,,,4796005443.62,21391864462.34,3404284949.25,37078870750.42,13427928655.63,,,13952640.0,3976302.92,,,,,17928942.92,1087312766.7,,,,,,1087312766.7,-1069383823.78,,,,,,,0.0,,,,157849148.32,157849148.32,-157849148.32,,12200695683.53,113095684224.3,125296379907.83,113095684224.3,,,125296379907.83,定期报告,未审计,20260430,CNY,合并期末,2024-08-28T20:40:05
20240930,,77859685171.17,,,,,,,,,,,44310389.47,1740241977.27,79644237537.91,10242836807.45,,,,,,6594871661.42,28231492921.43,4780917414.02,49850118804.32,29794118733.59,,,13952640.0,3991067.39,,,,,17943707.39,1615700079.03,,,,,,1615700079.03,-1597756371.64,,46080668.01,46080668.01,,,,46080668.01,,19232909999.74,1105800616.39,300080899.96,19532990899.7,-19486910231.69,,8709452130.26,113095684224.3,,,,,121805136354.56,定期报告,未审计,20260430,CNY,合并期末,2024-10-30T19:25:03
20241231,,101868590728.87,,,,,,,,,,,94626847.8,2946413228.48,104909630805.15,21471357324.45,,,,,,8160223972.99,34415656693.45,6922637621.48,70969875612.37,33939755192.78,,,13952640.0,10136401.18,,,,,24089041.18,2666310780.23,,,,,,2666310780.23,-2642221739.05,,91727645.7,91727645.7,,,,91727645.7,,19240745409.33,1113636025.98,473459624.14,19714205033.47,-19622477387.77,534127.42,11675590193.38,113095684224.3,124771274417.68,113095684224.3,,,124771274417.68,定期报告,是,20260430,CNY,合并期末,2025-04-25T21:06:26
20250331,,38234128546.72,,,,,,,,,,,,469059184.72,38703187731.44,3815328384.4,,,,,,3351345082.62,13563879816.1,2123832186.08,22854385469.2,15848802262.24,,,,22447707.43,,,,,22447707.43,428957997.08,40000000.0,,,,,468957997.08,-446510289.65,,,,,,,0.0,,4507561967.32,,104356504.37,4611918471.69,-4611918471.69,,10790373500.9,124771274417.68,,,,,135561647918.58,定期报告,未审计,20260430,CNY,合并期末,2025-04-25T21:06:26
20250630,,69467039356.79,,,,,,,,,,,3869080.0,776441645.4,70247350082.19,7421678285.8,,,,,,4945127822.75,23191258525.87,3552548819.19,39110613453.61,31136736628.58,,,,22584050.71,,,,,22584050.71,950068700.93,40000000.0,,,,,990068700.93,-967484650.22,,,,,,,0.0,,9999022175.17,,301211303.89,10300233479.06,-10300233479.06,,19869018499.3,124771274417.68,144640292916.98,124771274417.68,,,144640292916.98,定期报告,未审计,20260430,CNY,合并期末,2025-08-27T21:02:06
20250930,,76608043515.75,,,,,,,,,,,3869080.0,1819040428.91,78430953024.66,10050827765.03,,,,,,6596712338.73,28696500647.97,4839423855.99,50183464607.72,28247488416.94,,,,29998282.66,,,,,29998282.66,1488528821.02,40000000.0,,,,,1528528821.02,-1498530538.36,,,,,,,0.0,,18536483001.72,7345696.5,414824117.82,18951307119.54,-18951307119.54,,7797650759.04,124771274417.68,,,,,132568925176.72,定期报告,未审计,20260430,CNY,合并期末,2025-10-30T18:38:42
20251231,,91400295974.06,,,,,,,,,,,31878354.72,2982189922.58,94414364251.36,19575747032.1,,,,,,8202043064.9,30797656038.37,6132658196.86,64708104332.23,29706259919.13,,,,36839386.35,,,,,36839386.35,1967407316.36,40000000.0,,,,,2007407316.36,-1970567930.01,,138643589.71,138643589.71,,,,138643589.71,,28005245614.75,1264598878.45,524970121.37,28530215736.12,-28391572146.41,-703626.72,-656583784.01,124771274417.68,124114690633.67,124771274417.68,,,124114690633.67,定期报告,是,20260430,CNY,合并期末,2026-04-30T18:26:05
20260331,,13311265445.29,,,,,,,,,,,,497184787.44,13808450232.73,3471591309.18,,,,,,3177268397.03,7395183760.72,2299777997.84,16343821464.77,-2535371232.04,,,4000000.0,16616830.34,,,,,20616830.34,346443644.15,37620000.0,,,,,384063644.15,-363446813.81,,12000000.0,12000000.0,,,,12000000.0,,,,70696910.56,70696910.56,-58696910.56,,-2957514956.41,124114690633.67,,,,,121157175677.26,定期报告,未审计,20260430,CNY,合并期末,2026-04-30T18:26:05
