# 财务比率（361度 01361.HK）· 派生自本目录三表，非财报直接披露
# 通用底 = scripts/derived.py compute_common_ratios()；其余为 361度 定制层
# 比率为小数（0.62 = 62%）；天数为天；标(百万元)者为金额
# 🔴 2011H2 只有 6 个月：所有「流量÷存量」指标（ROE / 周转天数 / 现金含量分母）在该列天然只有半年强度，**不可与 12 个月期直接比**
# ⚠️ 应收口径：FY2006-FY2010 合并行 / FY2011 两行 / 2011H2 起三行，已合并成连续口径（含按金预付款项），与单看「贸易应收款项」不同
# ⚠️ 分红率分母用「已付股息」(现金流量表·期内实付)，与「宣派」口径有跨年时间差
指标,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
资产负债率 Liabilities/Total assets,0.7336,0.6748,0.7244,0.3846,0.2481,0.2372,0.2295,0.3441,0.3341,0.4098,0.3892,0.4835,0.4766,0.5074,0.4398,0.349,0.2387,0.2427,0.2558,0.2672,0.2679
归母/净利 Parent/Net profit,1,1,1,1,1.0021,1.0057,0.9957,0.9888,0.9838,0.9813,0.9774,0.957,0.9774,0.9944,0.9204,0.838,0.8107,0.9147,0.9243,0.9631,0.9788
应收账款周转天数 AR turnover days,129.8253,113.3639,112.5373,119.9636,114.0532,100.3091,385.7456,214.8539,266.4344,238.3184,222.7793,210.1489,204.0174,211.0013,193.1039,213.6627,214.22,210.2155,200.95,194.6498,202.1261
存货周转天数 Inventory turnover days,54.5353,64.1434,47.0824,21.443,15.053,19.1225,88.9816,55.8836,73.2967,77.3952,77.689,68.4539,82.3394,110.4419,120.4527,110.6154,87.1884,91.3956,93.172,107.1849,116.907
应付账款周转天数 AP turnover days,238.7089,201.4855,133.2849,142.7419,156.2598,127.096,301.5919,160.2681,257.8355,262.3743,243.0708,224.7502,254.8092,297.8723,275.322,232.7482,202.8862,194.765,180.4022,163.6213,156.6772
现金及金融资产/总资产 Cash&financial/TA,0.0793,0.0925,0.1279,0.5076,0.5679,0.4306,0.1432,0.3873,0.4009,0.4811,0.4448,0.5343,0.5437,0.5415,0.5597,0.5605,0.4797,0.4732,0.3987,0.3178,0.2847
固定资产PPE/总资产 PPE/TA,0.0716,0.0444,0.0769,0.0605,0.1241,0.1509,0.1599,0.1328,0.1369,0.1231,0.1337,0.1151,0.1008,0.0865,0.0804,0.076,0.0732,0.0621,0.0586,0.0716,0.0719
存货/总资产 Inventory/TA,0.1308,0.1764,0.1571,0.0205,0.0291,0.0352,0.0809,0.0639,0.0575,0.0668,0.0628,0.0515,0.073,0.0878,0.0983,0.0656,0.0793,0.0951,0.1034,0.1572,0.1433
(应收)/总资产 Receivables/TA,0.3472,0.354,0.5847,0.3903,0.2442,0.3364,0.5643,0.3714,0.3586,0.2986,0.3294,0.2754,0.2583,0.2608,0.2388,0.2722,0.3382,0.3391,0.3871,0.4239,0.462
当年分红率 Payout ratio,,,,0.1214,0.2433,0.2782,0.9255,0.4093,1.0766,0.26,0.3195,0.7856,0.3214,0.64,0.3921,0.067,,,0.1267,0.5053,0.4465
经营溢利率 Operating margin,0.0465,0.0786,0.1538,0.2148,0.2429,0.2639,0.1847,0.1746,0.0983,0.1854,0.2051,0.189,0.1915,0.1508,0.1575,0.1605,0.1825,0.1543,0.1643,0.1565,0.1585
财务成本/营收 Finance cost/Revenue,0.0048,0.0081,0.0041,0.0046,0.0008,0.0001,0.0002,0.0135,0.0221,0.0236,0.0281,0.0372,0.0414,0.0408,0.0386,0.0326,0.0062,0.0014,0.0024,0.0013,0.0009
经调整股东应占溢利(剔可转债及票据损益)(百万元),11.006,22.911,178.973,632.111,916.814,1196.133,359.692,674.272,169.42,422.099,517.639,457.72,456.706,303.665,379.759,368.866,602.928,747.117,961.427,1148.615,1308.884
经调整股东应占溢利率,0.0419,0.0614,0.1359,0.1834,0.2117,0.219,0.151,0.1362,0.0473,0.1081,0.1161,0.0911,0.0885,0.0585,0.0674,0.0719,0.1016,0.1073,0.1141,0.114,0.1174
有息负债(百万元),43,60,149.5,267,,13.216,178.781,795.377,783.437,1500.18,1504.511,2803.165,2578.294,2826.569,2529.79,1936.792,207.837,292.282,292.491,261.22,299.001
有息负债/总资产 Borrowings/TA,0.1597,0.1535,0.1297,0.0655,,0.0024,0.032,0.1103,0.11,0.1758,0.1712,0.2672,0.2314,0.2362,0.2128,0.1667,0.0185,0.0235,0.0224,0.0195,0.0207
净现金 Net cash(百万元),-21.631,-23.853,-2.105,1803.246,2591.871,2402.361,620.568,1998.162,2070.49,2605.952,2403.74,2801.16,3479.102,3652.117,4123.18,4577.167,5183.343,5592.298,4916.413,4001.721,3804.059
净现金/总资产 Net cash/TA,-0.0803,-0.061,-0.0018,0.4421,0.5679,0.4283,0.1112,0.2771,0.2908,0.3053,0.2736,0.267,0.3123,0.3052,0.3469,0.3939,0.4612,0.4497,0.3763,0.2983,0.264
