分部,指标,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
合計,外部売上高,552223,521346,606095,626713,629172,580795,603852,612789,556178,499224,600568,763521,832537,840401,879462
合計,セグメント間売上高,19696,19314,23141,28724,29809,25227,25687,-23394,-21162,-17786,-17960,-32181,-39450,-34030,-34529
合計,セグメント売上高計,571919,540660,629236,655437,658981,606022,629539,636183,577340,517010,618528,795702,871987,874431,913991
合計,PPA償却前セグメント利益,14904,8986,22452,25270,27175,33062,37694,38824,23018,,,,,,
合計,ピルキントン買収償却費,-7188,-7040,-7885,-8422,-7813,-3200,-2031,-1969,-1841,,,,,,
合計,個別開示項目前営業利益,7716,1946,14567,16848,19362,29862,35663,36855,21177,13067,19980,34812,35860,16491,28817
合計,個別開示項目収益,,,,,,,,,,14832,6027,7024,2150,5479,3411
合計,個別開示項目費用,,,,,,,,,,-36228,-2381,-52178,-2060,-10728,-8925
合計,減価償却費_有形,-28975,-26800,-29518,-30064,-30477,-26742,-26393,-24185,-30051,-30521,-34005,-38003,-43776,-46779,-51215
合計,償却費_無形,-9752,-9755,-10330,-10935,-10472,-5447,-4133,-3692,-3795,-3248,-2665,-2191,-2146,-2506,-2952
合計,減損損失,57,-8,-1770,-593,-81,-183,-182,-1195,-1129,-1424,,-678,,-577,-894
合計,研究開発費,-7956,-7267,-7880,-8212,-9799,-8470,-9099,-9383,-9014,-8256,-7706,-9093,-9934,-9924,-11143
